_step,training/global_step,critic/rewards/mean,critic/rewards_sum/mean,critic/advantages/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,actor/ppo_kl,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_replay/skip_uid_set_size,exp_mask_ratio,val-aux/alfworld/reward/mean@1,val-aux/alfworld/reward/mean@2,val-aux/alfworld/reward/mean@3,val-aux/alfworld/reward/best@64/mean,label
31,31,0.421875,0.421875,-0.01741517335176468,0.11858238279819489,0.6081045866012573,0.0437586922198534,0.0,2,2,84,18,0.0008722288766875863,,,,,"ER exp_ratio=0.25, start=0.10"
32,32,0.3125,0.3125,-0.016339054331183434,0.12266165763139725,0.16105103492736816,-0.11611909419298172,0.016829077154397964,2,2,87,18,0.0012815719237551093,,,,,"ER exp_ratio=0.25, start=0.10"
33,33,0.578125,0.578125,-0.038083914667367935,0.1553107351064682,0.14415261149406433,0.004654897376894951,0.0,2,2,93,18,0.0017348654801025987,,,,,"ER exp_ratio=0.25, start=0.10"
34,34,0.546875,0.546875,-0.030487138777971268,0.1356298178434372,0.21058250963687897,-0.008913524448871613,0.0,2,2,97,19,0.0014320856425911188,,,,,"ER exp_ratio=0.25, start=0.10"
35,35,0.53125,0.53125,-0.043794870376586914,0.17566391825675964,0.1464458554983139,0.014487374573946,-0.011426880955696106,2,2,100,19,0.0009913950925692916,,,,,"ER exp_ratio=0.25, start=0.10"
36,36,0.6875,0.6875,-0.07359611988067627,0.21883006393909454,0.16302241384983063,0.14831145852804184,0.01673739217221737,2,2,105,20,0.0017165702302008867,,,,,"ER exp_ratio=0.25, start=0.10"
37,37,0.5625,0.5625,-0.03701283782720566,0.17030206322669983,0.19959333539009094,-0.13512947969138622,0.008822149597108364,2,2,109,21,0.002020081039518118,,,,,"ER exp_ratio=0.25, start=0.10"
38,38,0.59375,0.59375,-0.047883041203022,0.14474481344223022,0.15827810764312744,0.1382240578532219,0.022134307771921158,2,2,114,21,0.0011378263588994741,,,,,"ER exp_ratio=0.25, start=0.10"
39,39,0.359375,0.359375,-0.027035051956772804,0.13509501516819,0.1827579289674759,-0.18060515262186527,0.0,2,2,115,21,0.000983981415629387,,,,,"ER exp_ratio=0.25, start=0.10"
40,40,0.65625,0.65625,-0.04076198488473892,0.16429822146892548,0.1886192411184311,0.04969019442796707,0.0,2,2,118,23,0.00164895283523947,,,,,"ER exp_ratio=0.25, start=0.10"
41,41,0.59375,0.59375,-0.03145897388458252,0.14714360237121582,0.16619443893432617,0.18730246648192406,0.0,2,2,120,25,0.0008225935162045062,,,,,"ER exp_ratio=0.25, start=0.10"
42,42,0.5625,0.5625,-0.027819767594337463,0.1466447114944458,0.24555379152297974,-0.12076122313737869,0.0,2,2,124,26,0.002144637517631054,,,,,"ER exp_ratio=0.25, start=0.10"
43,43,0.546875,0.546875,-0.02489180862903595,0.1463729590177536,0.19376890361309052,-0.07438436523079872,0.0,2,2,127,27,0.0012881747679784894,,,,,"ER exp_ratio=0.25, start=0.10"
44,44,0.453125,0.453125,-0.033795226365327835,0.12106680124998093,0.2754877507686615,-0.08686135895550251,0.0,2,2,132,27,0.000875208294019103,,,,,"ER exp_ratio=0.25, start=0.10"
45,45,0.5625,0.5625,-0.04253214970231056,0.14254410564899445,0.3910227119922638,-0.10305359959602356,0.0,2,2,136,27,0.0007952378946356475,,,,,"ER exp_ratio=0.25, start=0.10"
46,46,0.453125,0.453125,-0.026053333654999733,0.1578296422958374,0.5596289038658142,-0.3961806073784828,0.03378124535083771,2,2,138,28,0.0006522393086925149,,,,,"ER exp_ratio=0.25, start=0.10"
47,47,0.59375,0.59375,-0.0377330556511879,0.14732664823532104,0.09833043813705444,0.23452058993279934,0.0,2,2,142,29,0.0006194229354150593,,,,,"ER exp_ratio=0.25, start=0.10"
48,48,0.609375,0.609375,-0.026124874129891396,0.13814909756183624,0.17031367123126984,1.862645149230957e-09,0.029958847910165787,2,2,143,31,0.0018526135245338082,,,,,"ER exp_ratio=0.25, start=0.10"
49,49,0.625,0.625,-0.03795521706342697,0.14724403619766235,0.32021093368530273,-0.2208451759070158,0.0,2,2,146,32,0.0007710380014032125,,,,,"ER exp_ratio=0.25, start=0.10"
50,50,0.84375,0.84375,-0.02674405835568905,0.1568373441696167,0.22213689982891083,-0.08487662486732006,0.016058677807450294,2,2,148,36,0.0014220325974747539,0.6142857142857143,0.5,0.7083333333333333,1.0,"ER exp_ratio=0.25, start=0.10"
51,51,0.625,0.625,-0.053140848875045776,0.15417523682117462,0.3893999755382538,0.14462878927588463,0.022759046405553818,2,2,153,36,0.0007526695262640715,,,,,"ER exp_ratio=0.25, start=0.10"
52,52,0.578125,0.578125,-0.049716364592313766,0.15255221724510193,0.16284476220607758,-0.06784963235259056,0.01838795468211174,2,2,159,36,0.0012492792448028922,,,,,"ER exp_ratio=0.25, start=0.10"
53,53,0.6875,0.6875,-0.07242047786712646,0.13636945188045502,0.3780690133571625,-0.2351683508604765,-0.007972592487931252,2,2,165,36,0.000806822907179594,,,,,"ER exp_ratio=0.25, start=0.10"
54,54,0.703125,0.703125,-0.02232552319765091,0.14241917431354523,0.21476975083351135,-0.11250352673232555,0.00286083878017962,2,2,169,38,0.0009595133014954627,,,,,"ER exp_ratio=0.25, start=0.10"
55,55,0.546875,0.546875,-0.023022815585136414,0.12356633692979813,0.16750285029411316,0.15711216069757938,0.0,2,2,170,40,0.0004803385818377137,,,,,"ER exp_ratio=0.25, start=0.10"
56,56,0.59375,0.59375,-0.029929913580417633,0.12753038108348846,0.20368912816047668,-0.20375637337565422,0.0201686080545187,2,2,174,41,0.0005975386593490839,,,,,"ER exp_ratio=0.25, start=0.10"
57,57,0.734375,0.734375,-0.04340368136763573,0.16250157356262207,0.22420863807201385,0.06809824518859386,0.00990756694227457,2,2,178,43,0.0009903651662170887,,,,,"ER exp_ratio=0.25, start=0.10"
58,58,0.703125,0.703125,-0.049559831619262695,0.13910764455795288,0.1839146763086319,-0.1811180766671896,0.014528184197843075,2,2,183,44,0.0010959290666505694,,,,,"ER exp_ratio=0.25, start=0.10"
59,59,0.609375,0.609375,-0.03004663623869419,0.1087743490934372,0.17689138650894165,0.08317279443144798,0.0,2,2,187,45,0.000947490450926125,,,,,"ER exp_ratio=0.25, start=0.10"
60,60,0.703125,0.703125,-0.06402585655450821,0.16623543202877045,0.2640681862831116,-0.12640617787837982,0.0,2,2,193,45,0.0011958329705521464,,,,,"ER exp_ratio=0.25, start=0.10"
61,61,0.609375,0.609375,-0.020051032304763794,0.14891067147254944,0.13666953146457672,0.1838640533387661,0.0,2,2,193,48,0.00044346958748064935,,,,,"ER exp_ratio=0.25, start=0.10"
62,62,0.484375,0.484375,-0.03176559880375862,0.16189467906951904,0.19444508850574493,0.11979489773511887,0.0,2,2,197,49,0.001152391079813242,,,,,"ER exp_ratio=0.25, start=0.10"
63,63,0.8125,0.8125,-0.054781608283519745,0.15744583308696747,0.5633523464202881,-0.026790974661707878,-0.010798776522278786,2,2,202,50,0.0005632550455629826,,,,,"ER exp_ratio=0.25, start=0.10"
64,64,0.765625,0.765625,-0.062437012791633606,0.15935014188289642,0.363441526889801,-0.12146493047475815,0.029459329321980476,2,2,207,51,0.000764054711908102,,,,,"ER exp_ratio=0.25, start=0.10"
65,65,0.703125,0.703125,-0.03997454792261124,0.14244136214256287,0.3220166862010956,0.006475422531366348,0.010331950150430202,2,2,209,54,0.0005633301916532218,,,,,"ER exp_ratio=0.25, start=0.10"
66,66,0.59375,0.59375,-0.03505992516875267,0.13978266716003418,0.2583414614200592,-0.2535935342311859,0.0,2,2,212,55,0.0010017860913649201,,,,,"ER exp_ratio=0.25, start=0.10"
67,67,0.734375,0.734375,-0.03166215494275093,0.1905326396226883,0.20002008974552155,-0.052287325263023376,0.0,2,2,214,58,0.002201962983235717,,,,,"ER exp_ratio=0.25, start=0.10"
68,68,0.46875,0.46875,-0.022127529606223106,0.1200934574007988,0.8594371676445007,-0.25550515577197075,0.0,2,2,217,59,0.0009938589064404368,,,,,"ER exp_ratio=0.25, start=0.10"
69,69,0.59375,0.59375,-0.03669305145740509,0.15379823744297028,0.27298128604888916,0.08778000436723232,0.014997498132288456,2,2,220,60,0.0014360606437548995,,,,,"ER exp_ratio=0.25, start=0.10"
70,70,0.609375,0.609375,-0.03404552489519119,0.14251360297203064,0.27427709102630615,0.06902864016592503,0.0,2,2,224,61,0.0008891155594028533,,,,,"ER exp_ratio=0.25, start=0.10"
71,71,0.765625,0.765625,-0.05283807963132858,0.1590612530708313,0.3499819338321686,0.13240265846252441,0.0,2,2,229,62,0.0005342241493053734,,,,,"ER exp_ratio=0.25, start=0.10"
72,72,0.75,0.75,-0.044753532856702805,0.1543649137020111,0.21556971967220306,-0.13958401419222355,0.0,2,2,233,64,0.000630080234259367,,,,,"ER exp_ratio=0.25, start=0.10"
73,73,0.609375,0.609375,-0.044917743653059006,0.18489985167980194,0.2526363134384155,0.07380931824445724,0.04673909954726696,2,2,239,64,0.0019221568945795298,,,,,"ER exp_ratio=0.25, start=0.10"
74,74,0.625,0.625,-0.02335977926850319,0.1272355318069458,0.16483649611473083,0.20096989907324314,0.025289008393883705,2,2,243,65,0.0010323640890419483,,,,,"ER exp_ratio=0.25, start=0.10"
75,75,0.6875,0.6875,-0.042553048580884933,0.1132364273071289,0.5489145517349243,-0.045449601486325264,0.0,2,2,247,66,0.0006950014503672719,,,,,"ER exp_ratio=0.25, start=0.10"
76,76,0.5625,0.5625,-0.015550795942544937,0.13346195220947266,0.5792246460914612,-0.03731725364923477,0.0,2,2,249,68,0.0010485824896022677,,,,,"ER exp_ratio=0.25, start=0.10"
77,77,0.8125,0.8125,-0.05125826597213745,0.1553855836391449,0.4630303978919983,0.07454850524663925,0.0,2,2,254,69,0.0006562647758983076,,,,,"ER exp_ratio=0.25, start=0.10"
78,78,0.796875,0.796875,-0.034934576600790024,0.1569780558347702,0.26228129863739014,-0.11845331639051437,0.0,2,2,257,72,0.0009183053625747561,,,,,"ER exp_ratio=0.25, start=0.10"
79,79,0.765625,0.765625,-0.05947723984718323,0.17297640442848206,0.3283659815788269,-0.09757278300821781,0.025716980919241905,2,2,261,74,0.0007978251087479293,,,,,"ER exp_ratio=0.25, start=0.10"
80,80,0.515625,0.515625,-0.03247110918164253,0.15002356469631195,0.19660022854804993,-0.20818298682570457,0.0,2,2,264,75,0.0018208175897598267,,,,,"ER exp_ratio=0.25, start=0.10"
81,81,0.75,0.75,-0.0443849116563797,0.16135376691818237,0.23230014741420746,-0.15589564852416515,0.0,2,2,265,78,0.0007289766799658537,,,,,"ER exp_ratio=0.25, start=0.10"
82,82,0.71875,0.71875,-0.11553624272346497,0.2064337134361267,0.37780895829200745,-0.025785572826862335,0.0,2,2,267,81,0.00045245210640132427,,,,,"ER exp_ratio=0.25, start=0.10"
83,83,0.640625,0.640625,-0.07096419483423233,0.16835276782512665,0.3254118859767914,-0.05597586929798126,0.0,2,2,272,81,0.0006388943875208497,,,,,"ER exp_ratio=0.25, start=0.10"
84,84,0.640625,0.640625,-0.04288698732852936,0.18545369803905487,0.39185455441474915,-0.1858204659074545,0.018033454194664955,2,2,274,83,0.0005750980926677585,,,,,"ER exp_ratio=0.25, start=0.10"
85,85,0.6875,0.6875,-0.035659465938806534,0.1474878191947937,0.2765040099620819,0.04184705950319767,0.0,2,2,276,85,0.0008679754682816565,,,,,"ER exp_ratio=0.25, start=0.10"
86,86,0.765625,0.765625,-0.043637800961732864,0.17463073134422302,0.279559463262558,-0.046345558017492294,0.01296837255358696,2,2,279,88,0.0011824893299490213,,,,,"ER exp_ratio=0.25, start=0.10"
87,87,0.6875,0.6875,-0.04274720326066017,0.13068059086799622,0.3243040144443512,-0.04967484064400196,0.0,2,2,284,89,0.00077915278961882,,,,,"ER exp_ratio=0.25, start=0.10"
88,88,0.734375,0.734375,-0.03326830267906189,0.1416301429271698,0.19005128741264343,0.007166001945734024,0.0,2,2,289,90,0.0007264342275448143,,,,,"ER exp_ratio=0.25, start=0.10"
89,89,0.796875,0.796875,-0.06784307211637497,0.18126800656318665,0.3418821096420288,0.011920403689146042,0.02034117840230465,2,2,293,92,0.0012020475696772337,,,,,"ER exp_ratio=0.25, start=0.10"
90,90,0.6875,0.6875,-0.027611758559942245,0.14870940148830414,0.3732079863548279,0.10840110667049885,0.027603261172771454,2,2,296,94,0.0009707604767754674,,,,,"ER exp_ratio=0.25, start=0.10"
91,91,0.6875,0.6875,-0.04637472331523895,0.15184764564037323,0.4149587154388428,0.039234597235918045,0.0,2,2,299,96,0.0006532819825224578,,,,,"ER exp_ratio=0.25, start=0.10"
92,92,0.484375,0.484375,-0.0443313792347908,0.1697428822517395,0.6723983883857727,0.09316803701221943,0.0,2,2,303,96,0.0006811318453401327,,,,,"ER exp_ratio=0.25, start=0.10"
93,93,0.5625,0.5625,-0.04126346856355667,0.15995293855667114,0.3040395677089691,-0.08141564019024372,0.05671154893934727,2,2,305,98,0.0009969734819605947,,,,,"ER exp_ratio=0.25, start=0.10"
94,94,0.75,0.75,-0.057702548801898956,0.16571833193302155,0.39056476950645447,0.05678345635533333,0.014524903148412704,2,2,309,100,0.0005354619352146983,,,,,"ER exp_ratio=0.25, start=0.10"
95,95,0.5625,0.5625,-0.041651926934719086,0.14458586275577545,0.3136654198169708,-0.24525009468197823,0.0,2,2,311,101,0.0007237152894958854,,,,,"ER exp_ratio=0.25, start=0.10"
96,96,0.59375,0.59375,-0.04873200133442879,0.18161830306053162,0.3391406536102295,-0.05264620669186115,0.01847998797893524,2,2,312,103,0.001219188212417066,,,,,"ER exp_ratio=0.25, start=0.10"
97,97,0.65625,0.65625,-0.04404730722308159,0.18865610659122467,0.4088191092014313,0.18404357135295868,0.0,2,2,315,105,0.0007189937750808895,,,,,"ER exp_ratio=0.25, start=0.10"
98,98,0.703125,0.703125,-0.042747657746076584,0.18861030042171478,0.43733084201812744,-0.14903420954942703,0.006839911453425884,2,2,317,108,0.0008211766835302114,,,,,"ER exp_ratio=0.25, start=0.10"
99,99,0.703125,0.703125,-0.032464224845170975,0.13637934625148773,0.5160290002822876,0.1476382426917553,0.0,2,2,320,110,0.00040946505032479763,,,,,"ER exp_ratio=0.25, start=0.10"
100,100,0.515625,0.515625,-0.043912265449762344,0.1297631412744522,0.379096657037735,0.08616619184613228,0.0,2,2,325,110,0.0012204234953969717,0.5428571428571428,0.4166666666666667,0.5416666666666666,1.0,"ER exp_ratio=0.25, start=0.10"
