segment,lo,hi,n,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_mask_ratio
pre (step 1-10),1.0,10.0,10.0,0.3109375,0.14170231595635413,0.044021449005231264,0.4,0.4,16.8,0.0001471221446990967
post (step 11-100),11.0,100.0,90.0,0.6168402777777777,0.16038096936212645,0.297130113798711,4.0,4.0,101.33333333333333,0.002114524712993039
