_step,n_tasks,gap_mean,gap_std,gap_p50,gap_p90,gap_max,frac_gap_gt_0_5,frac_gap_gt_0_7
33,8.0,0.48214285714285715,0.28515570397627343,0.5714285714285714,0.7571428571428571,0.8571428571428572,0.625,0.375
34,8.0,0.5714285714285714,0.15971914124998499,0.5,0.7571428571428571,0.8571428571428572,0.5,0.375
35,8.0,0.6071428571428571,0.30929478706587094,0.6428571428571428,0.9,1.0,0.75,0.5
36,7.0,0.34693877551020413,0.30407478419900696,0.2857142857142857,0.6857142857142858,0.8571428571428572,0.42857142857142855,0.14285714285714285
37,8.0,0.4285714285714286,0.335029697130245,0.5,0.7571428571428571,0.8571428571428572,0.5,0.5
38,7.0,0.5306122448979591,0.2929122468246393,0.5714285714285714,0.8285714285714287,1.0,0.7142857142857143,0.2857142857142857
39,7.0,0.5510204081632654,0.24659277497131782,0.4285714285714286,0.8571428571428572,0.8571428571428572,0.42857142857142855,0.42857142857142855
40,8.0,0.42857142857142855,0.3030457633656632,0.42857142857142855,0.7571428571428571,0.8571428571428572,0.5,0.375
41,8.0,0.5,0.34255939452233714,0.4285714285714286,0.9,1.0,0.375,0.375
42,7.0,0.5510204081632653,0.3616335744218235,0.5714285714285714,1.0,1.0,0.5714285714285714,0.42857142857142855
43,8.0,0.5,0.2142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.625,0.25
44,8.0,0.5178571428571428,0.1587177574520641,0.5,0.657142857142857,0.8571428571428572,0.5,0.125
45,8.0,0.4642857142857143,0.24484480715718016,0.5,0.7571428571428571,0.8571428571428572,0.5,0.25
46,8.0,0.5535714285714286,0.20748125068968304,0.5,0.7999999999999999,1.0,0.5,0.25
47,8.0,0.3928571428571429,0.34809979802889157,0.2142857142857143,0.9,1.0,0.375,0.25
48,8.0,0.375,0.27606472917393404,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.375,0.375
49,7.0,0.2857142857142857,0.2957423825752947,0.2857142857142857,0.6000000000000002,0.8571428571428572,0.14285714285714285,0.14285714285714285
50,8.0,0.16071428571428573,0.15046696023529213,0.1428571428571429,0.3285714285714285,0.4285714285714286,0.0,0.0
51,8.0,0.2678571428571429,0.21943224513293763,0.35714285714285715,0.4714285714285714,0.5714285714285714,0.125,0.0
52,8.0,0.35714285714285715,0.15971914124998499,0.4285714285714286,0.4714285714285714,0.5714285714285714,0.125,0.0
53,8.0,0.4464285714285714,0.3067065006663869,0.35714285714285715,0.7999999999999999,1.0,0.375,0.375
54,8.0,0.3392857142857143,0.236227795630767,0.4285714285714286,0.5714285714285714,0.5714285714285714,0.375,0.0
55,8.0,0.39285714285714285,0.43886449026587526,0.1428571428571429,1.0,1.0,0.375,0.375
56,8.0,0.35714285714285715,0.2258769757263128,0.4285714285714286,0.6142857142857142,0.7142857142857143,0.25,0.125
57,8.0,0.3392857142857143,0.21354037041252494,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.375,0.0
58,7.0,0.2857142857142857,0.17074694419062764,0.2857142857142857,0.48571428571428577,0.5714285714285714,0.14285714285714285,0.0
59,8.0,0.4821428571428572,0.27606472917393404,0.5,0.7571428571428571,0.8571428571428572,0.5,0.375
60,7.0,0.38775510204081637,0.3121848681791501,0.2857142857142857,0.8285714285714287,1.0,0.2857142857142857,0.2857142857142857
61,8.0,0.6071428571428572,0.34809979802889157,0.7857142857142858,0.9,1.0,0.625,0.625
62,8.0,0.5357142857142857,0.2834733547569204,0.5,0.9,1.0,0.5,0.375
63,8.0,0.2857142857142857,0.2142857142857143,0.2857142857142857,0.5142857142857142,0.7142857142857143,0.125,0.125
64,8.0,0.2142857142857143,0.1749635530559413,0.1428571428571429,0.4285714285714286,0.4285714285714286,0.0,0.0
65,8.0,0.35714285714285715,0.1889822365046136,0.4285714285714286,0.5714285714285714,0.5714285714285714,0.25,0.0
66,8.0,0.48214285714285715,0.28515570397627343,0.5,0.8571428571428572,0.8571428571428572,0.5,0.25
67,8.0,0.5178571428571428,0.3566961492042532,0.5,1.0,1.0,0.5,0.5
68,6.0,0.4047619047619048,0.27868333120761013,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.5,0.3333333333333333
69,8.0,0.5,0.3711537444790451,0.6428571428571428,0.9,1.0,0.625,0.5
70,8.0,0.6607142857142857,0.3345534641999142,0.7857142857142858,1.0,1.0,0.75,0.625
71,8.0,0.39285714285714285,0.21128856368212914,0.5,0.5714285714285714,0.5714285714285714,0.5,0.0
72,8.0,0.3928571428571429,0.3253726278265821,0.42857142857142855,0.7,1.0,0.5,0.125
73,8.0,0.4285714285714286,0.17496355305594127,0.5,0.5714285714285714,0.5714285714285714,0.5,0.0
74,8.0,0.4642857142857143,0.3174355149041282,0.4285714285714286,0.9,1.0,0.375,0.25
75,8.0,0.48214285714285715,0.34947117483537365,0.5,0.9,1.0,0.5,0.375
76,8.0,0.625,0.3189387696337813,0.7142857142857143,1.0,1.0,0.625,0.625
77,8.0,0.5,0.2766416675862441,0.5714285714285714,0.7571428571428571,0.8571428571428572,0.625,0.375
78,8.0,0.4821428571428572,0.2666640093405014,0.4285714285714286,0.7999999999999999,1.0,0.375,0.25
79,8.0,0.3928571428571429,0.22303564279994278,0.4285714285714286,0.6142857142857142,0.7142857142857143,0.375,0.125
80,7.0,0.6530612244897959,0.3135161529742289,0.7142857142857143,0.9142857142857144,1.0,0.7142857142857143,0.7142857142857143
81,8.0,0.5178571428571429,0.3108374140273073,0.4285714285714286,1.0,1.0,0.375,0.25
82,8.0,0.4285714285714286,0.2369017707396714,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.375,0.25
83,8.0,0.5,0.22587697572631282,0.5714285714285714,0.7571428571428571,0.8571428571428572,0.625,0.25
84,8.0,0.3392857142857143,0.2251700038021159,0.35714285714285715,0.6142857142857142,0.7142857142857143,0.25,0.125
85,8.0,0.5357142857142857,0.34809979802889157,0.5714285714285714,1.0,1.0,0.625,0.375
86,8.0,0.4642857142857143,0.3009339204705842,0.5,0.7999999999999999,1.0,0.5,0.25
87,8.0,0.39285714285714285,0.2923340275668732,0.5,0.657142857142857,0.8571428571428572,0.5,0.125
88,8.0,0.39285714285714285,0.3624604130390079,0.35714285714285715,0.7999999999999999,1.0,0.375,0.375
89,8.0,0.4285714285714286,0.29450754468697576,0.4285714285714286,0.7999999999999999,1.0,0.25,0.25
90,8.0,0.5,0.384654629081036,0.5714285714285714,0.9,1.0,0.5,0.5
91,8.0,0.35714285714285715,0.33502969713024494,0.35714285714285715,0.7,1.0,0.375,0.125
92,7.0,0.5510204081632654,0.3187857010574145,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.7142857142857143,0.5714285714285714
93,8.0,0.39285714285714285,0.24484480715718016,0.2857142857142857,0.5999999999999999,1.0,0.125,0.125
94,8.0,0.26785714285714285,0.3149141444383643,0.1428571428571429,0.7571428571428571,0.8571428571428572,0.25,0.25
95,8.0,0.44642857142857145,0.29827309086589404,0.42857142857142855,0.8571428571428572,0.8571428571428572,0.5,0.25
96,8.0,0.4642857142857143,0.21128856368212917,0.35714285714285715,0.7571428571428571,0.8571428571428572,0.375,0.25
97,7.0,0.32653061224489793,0.3027019790651291,0.2857142857142857,0.6571428571428574,1.0,0.14285714285714285,0.14285714285714285
98,8.0,0.3928571428571429,0.34069257193462343,0.4285714285714286,0.8571428571428572,0.8571428571428572,0.375,0.25
99,8.0,0.4464285714285714,0.2519059996368908,0.42857142857142855,0.7571428571428571,0.8571428571428572,0.5,0.25
100,8.0,0.6428571428571428,0.30304576336566325,0.6428571428571429,1.0,1.0,0.5,0.5
