_step,val-core/alfworld/reward/best@94/std,timing_s/step,critic/rewards/min,val-aux/alfworld/reward/worst@4/std,actor/kl_coef,training/num_not_none_traj,training/global_step,val-aux/alfworld/reward/best@16/std,actor/entropy_loss,timing_s/gen,critic/returns/mean,val-aux/alfworld/reward/worst@16/std,actor/kl_loss,exp_mask_ratio,_timestamp,perf/throughput,critic/rewards_sum/max,val-aux/alfworld/reward/worst@32/mean,critic/score/max,perf/max_memory_allocated_gb,val-aux/alfworld/reward/best@3/mean,val-aux/alfworld/reward/worst@32/std,val-aux/alfworld/reward/worst@64/mean,critic/advantages/min,global_seqlen/min,val-aux/alfworld/reward/best@2/std,critic/rewards_sum/mean,val-aux/alfworld/reward/worst@64/std,val-aux/alfworld/reward/worst@3/mean,val-aux/alfworld/reward/worst@3/std,val-aux/alfworld/reward/mean@3,perf/max_memory_reserved_gb,val-aux/alfworld/reward/best@4/std,prompt_length/mean,actor/on_pg_clipfrac_lower,response_length/clip_ratio,val-aux/alfworld/reward/std@2,_runtime,timing_per_token_ms/ref,timing_s/dump_rollout_generations,timing_s/old_log_prob,critic/score/min,actor/grad_norm,global_seqlen/max,perf/cpu_memory_used_gb,val-aux/alfworld/reward/mean@2,val-aux/alfworld/reward/best@32/mean,val-aux/alfworld/reward/best@4/mean,perf/total_num_tokens,val-aux/alfworld/reward/worst@94/std,val-aux/alfworld/reward/best@32/std,actor/ppo_kl,response_length/mean,perf/mfu/actor,perf/time_per_step,val-aux/alfworld/reward/worst@16/mean,val-aux/alfworld/reward/best@3/std,val-aux/alfworld/reward/best@64/mean,prompt_length/clip_ratio,actor/lr,critic/rewards_last/min,critic/rewards_last/mean,global_seqlen/minmax_diff,training/epoch,val-aux/alfworld/reward/worst@94/mean,prompt_length/max,val-aux/alfworld/reward/best@8/mean,val-core/alfworld/reward/mean@94,val-aux/alfworld/reward/best@8/std,val-aux/alfworld/reward/best@16/mean,val-aux/alfworld/reward/std@94,global_seqlen/balanced_min,timing_s/adv,timing_s/testing,val-aux/alfworld/reward/mean@1,timing_s/reward,timing_per_token_ms/gen,critic/advantages/mean,prompt_length/min,val-aux/alfworld/reward/std@3,val-aux/alfworld/reward/worst@2/mean,critic/rewards/mean,training/num_term_traj,actor/on_pg_clipfrac,global_seqlen/mean,val-aux/alfworld/reward/worst@4/mean,timing_s/ref,val-aux/alfworld/reward/best@64/std,timing_per_token_ms/adv,response_length/max,critic/rewards/max,critic/rewards_sum/min,critic/advantages/max,critic/rewards_last/max,critic/score/mean,val-aux/alfworld/reward/worst@8/std,val-aux/alfworld/reward/best@2/mean,val-aux/alfworld/reward/worst@8/mean,response_length/min,global_seqlen/balanced_max,timing_per_token_ms/update_actor,actor/pg_loss,critic/returns/max,val-aux/alfworld/reward/worst@2/std,val-core/alfworld/reward/best@94/mean,timing_s/update_actor,critic/returns/min
11,,193.73971865326166,0,,0.001,64,11,,0.17070239782333374,179.35859341919422,-0.04195250943303108,,0.04640762135386467,0,1767244589.1278026,381.28991057434035,1,,1,65.04615640640259,,,,-2.4748666286468506,42293,,0.53125,,,,,97.859375,,341.875,0,0.015625,,3242.61749731,0.007736072375107873,0.1293582245707512,2.4478579498827457,0,1.8899132013320923,133742,252.46734619140625,,,,295484,,,0,4275.0625,0.21458675959949988,193.73971865326166,,,,0.125,1e-06,0,0.53125,91449,0,,469,,,,,,73870,0.006665829569101334,,,0.0028210319578647614,0.6555408306135664,-0.04195250943303108,296,,,0.53125,34,0,73871.0,,2.2858856096863747,,2.2559020350006543e-05,9175,1,0,2.4748666286468506,1,0.53125,,,,594,73872,0.032132838564208024,0.3373267501592636,2.4748666286468506,,,9.494739670306444,-2.4748666286468506
12,,306.0803514383733,0,,0.001,64,12,,0.1403629034757614,287.2484049089253,-0.03413965180516243,,0.10709276795387268,0,1767244895.221234,301.4502550274854,1,,1,65.04615640640259,,,,-2.4748666286468506,63124,,0.578125,,,,,97.859375,,362.125,0,0.015625,,3537.727606939,0.007979492917101342,0.16680466756224632,3.1970666274428368,0,1.5716960430145264,132206,252.58843612670898,,,,369072,,,0,5404.625,0.20872520175943698,306.0803514383733,,,,0.125,1e-06,0,0.578125,69082,0,,707,,,,,,92258,0.008703377097845078,,,0.001973949372768402,0.8304473162711489,-0.03413965180516243,296,,,0.578125,37,0,92268.0,,2.945007409900427,,2.3581786474847938e-05,12929,1,0,2.4748666286468506,1,0.578125,,,,555,92273,0.03386165987863822,0.10047448612749577,2.4748666286468506,,,12.497390534728765,-2.4748666286468506
13,,295.09879095107317,0,,0.001,64,13,,0.15379397571086884,274.2713090404868,-0.056501634418964386,,0.11549682170152664,0,1767245190.3313475,278.50249652031357,1,,1,65.31225967407227,,,,-2.4748666286468506,45204,,0.578125,,,,,97.859375,,405.0,0,0.015625,,3837.924809174,0.009955298226200728,0.1748678907752037,3.9358054473996162,0,1.3699899911880493,144993,252.94421005249023,,,,328743,,,0,4731.609375,0.17556187004647625,295.09879095107317,,,,0.125,1e-06,0,0.578125,99789,0,,735,,,,,,81971,0.007860753685235977,,,0.0015180222690105438,0.9057149194099748,-0.056501634418964386,296,,,0.578125,37,0,82185.75,,3.2727346047759056,,2.391154696901828e-05,13742,1,0,2.4748666286468506,1,0.578125,,,,499,82794,0.04080155724233057,-0.005535224452614784,2.4748666286468506,,,13.413226332515478,-2.4748666286468506
14,,300.18634790182114,0,,0.001,64,14,,0.14491021633148193,280.6511974595487,-0.021961377933621407,,0.021018795669078827,0,1767245490.5285158,333.72936744200365,1,,1,65.31225967407227,,,,-1.20761239528656,71044,,0.421875,,,,,99.615234375,,392.625,0,0.015625,,4086.275102227,0.007569366723676535,0.16988500580191612,3.4520634189248085,0,1.2463582754135132,123709,253.36349487304688,,,,400724,,,0,5868.6875,0.21882867765533015,300.18634790182114,,,,0.125,1e-06,0,0.421875,52665,0,,693,,,,,,100173,0.008160106837749481,,,0.0021711811423301697,0.7472156185357371,-0.021961377933621407,296,,,0.421875,27,0,100181.0,,3.0332269109785557,,2.0363409323498173e-05,12589,1,0,1.20761239528656,1,0.421875,,,,699,100191,0.03207390817351293,-0.030190307646989822,1.20761239528656,,,12.852784778922796,-1.20761239528656
15,,248.34117133542895,0,,0.001,64,15,,0.1800767183303833,233.2715841345489,-0.02915375307202339,,0.3980960249900818,0,1767245738.878814,295.1957164645197,1,,1,65.31225967407227,,,,-2.4748666286468506,52503,,0.484375,,,,,99.615234375,,318.375,0,0.015625,,4434.127586749,0.008015713666339963,0.13423103094100952,2.54548442363739,0,1.121240496635437,116973,253.65887451171875,,,,293237,,,0,4263.453125,0.1968439144683461,248.34117133542895,,,,0.125,1e-06,0,0.484375,64470,0,,467,,,,,,73306,0.007244568318128586,,,0.0016447566449642181,0.8549099509807151,-0.02915375307202339,296,,,0.484375,31,0,73309.25,,2.3505038283765316,,2.4705505506223928e-05,9218,1,0,2.4748666286468506,1,0.484375,,,,584,73315,0.03415561777405139,-0.01849450170993805,2.4748666286468506,,,10.015690889209509,-2.4748666286468506
16,,347.8383821994066,0,,0.001,64,16,,0.13789895176887512,325.059970267117,-0.020716307684779167,,0.10629962384700775,0,1767246086.731311,329.0960855906237,1,,1,66.83260822296143,,,,-0.7245674133300781,88442,,0.28125,,,,,101.16796875,,434.5,0,0.015625,,4753.522251958,0.007939856097761263,0.2118312306702137,3.906058270484209,0,1.2680575847625732,125583,254.1061782836914,,,,457889,,,0,6720.015625,0.22410933273281874,347.8383821994066,,,,0.125,1e-06,0,0.28125,37141,0,,709,,,,,,114471,0.008611999452114105,,,0.002267267554998398,0.7558110455172794,-0.020716307684779167,296,,,0.28125,18,0,114472.25,,3.6355727687478065,,1.880805053651454e-05,17110,1,0,2.4748666286468506,1,0.28125,,,,933,114476,0.032736235960093646,-0.04091979190707207,2.4748666286468506,,,14.989562347531319,-0.7245674133300781
17,,319.3844961859286,0,,0.001,64,17,,0.1459190845489502,298.6000434458256,-0.028461480513215065,,0.059956904500722885,0,1767246406.125972,330.18039779429375,1,,1,66.83260822296143,,,,-2.4748666286468506,75750,,0.3125,,,,,101.16796875,,402.75,0,0.015625,,5135.491340834,0.007747842880151743,0.1784619614481926,3.5877227522432804,0,1.5138914585113525,132961,254.20751571655273,,,,421818,,,0,6188.15625,0.21852352893624466,319.3844961859286,,,,0.125,1e-06,0,0.3125,57211,0,,547,,,,,,105434,0.0075129009783267975,,,0.0017729364335536957,0.7539605482393927,-0.028461480513215065,296,,,0.3125,20,0,105454.5,,3.268179588019848,,1.7810764306707625e-05,10861,1,0,2.4748666286468506,1,0.3125,,,,530,105475,0.03253419124494092,-0.08838809840381145,2.4748666286468506,,,13.723507482558489,-2.4748666286468506
18,,381.9549370855093,0,,0.001,64,18,,0.144097700715065,362.4916651174426,-0.03881598636507988,,0.0831344947218895,0,1767246788.0950723,260.7761815046292,1,,1,66.83260822296143,,,,-2.4748666286468506,67013,,0.453125,,,,,101.16796875,,409.0,0,0.015625,,5488.510108029,0.007586237371473971,0.17401553317904472,3.3601761907339096,0,1.2706208229064941,146086,254.48719787597656,,,,398419,,,0,5816.296875,0.2182460493023859,381.9549370855093,,,,0.125,1e-06,0,0.453125,79073,0,,549,,,,,,99597,0.010519176721572876,,,0.002102203667163849,0.9738038461903719,-0.03881598636507988,296,,,0.453125,29,0,99604.75,,3.0225011073052883,,2.6402296882359715e-05,11181,1,0,2.4748666286468506,1,0.453125,,,,769,99613,0.032311824782963045,-0.2890535518527031,2.4748666286468506,,,12.873644918203354,-2.4748666286468506
19,,353.0073196962476,0,,0.001,64,19,,0.12319548428058624,330.5372791849077,-0.027393750846385956,,0.0569630041718483,0,1767247141.1138053,304.58221119187436,1,,1,66.83260822296143,,,,-2.4748666286468506,79068,,0.40625,,,,,101.16796875,,448.75,0,0.015625,,5760.845756266,0.008193109865682023,0.18081862479448318,3.912502694875002,0,1.2477558851242065,158519,254.8537483215332,,,,430079,,,0,6271.234375,0.21008628930530293,353.0073196962476,,,,0.125,1e-06,0,0.40625,79451,0,,735,,,,,,107507,0.008770432323217392,,,0.001685943454504013,0.8235452031346193,-0.027393750846385956,296,,,0.40625,26,0,107519.75,,3.523684497922659,,2.0392607691185554e-05,13611,1,0,1.20761239528656,1,0.40625,,,,464,107538,0.034464936493228494,0.12185265868902206,1.20761239528656,,,14.822645422071218,-2.4748666286468506
20,,272.3254787437618,0,,0.001,64,20,,0.15763922035694122,256.2190193794668,-0.043420907109975815,,0.14766767621040344,0,1767247413.4495234,304.88333439458586,1,,1,66.83260822296143,,,,-1.6201815605163574,60828,,0.515625,,,,,101.16796875,,340.75,0,0.015625,,5958.774903201,0.0075251596164963245,0.14650773257017136,2.7760660722851753,0,1.4553319215774536,97592,255.0085334777832,,,,332110,,,0,4848.46875,0.21097800778122522,272.3254787437618,,,,0.125,1e-06,0,0.515625,36764,0,,418,,,,,,83015,0.008808623999357224,,,0.0022833682596683502,0.825708565782582,-0.043420907109975815,296,,,0.515625,33,0,83027.5,,2.4991807602345943,,2.6523212186797216e-05,10413,1,0,2.4748666286468506,1,0.515625,,,,900,83034,0.03207333387963433,0.12940924800932407,2.4748666286468506,,,10.651874914765358,-1.6201815605163574
