_step,split,n_rollouts,success_rate,reward_outcome_mean,response_valid_tokens_mean,entropy_scalar_mean,offpolicy_ratio_mean,exp_tokens_mean
23,onpolicy,60.0,0.5166666666666667,0.5166666666666667,4193.133333333333,0.2119068805128336,0.0,0.0
23,overall,64.0,0.546875,0.546875,4105.1875,0.21135135146323591,0.012123245466280831,31.5625
24,offpolicy,4.0,1.0,1.0,2892.5,0.2036973126232624,0.17014732941989547,430.0
24,onpolicy,60.0,0.2833333333333333,0.2833333333333333,5706.783333333334,0.18331734426319599,0.0,0.0
24,overall,64.0,0.328125,0.328125,5530.890625,0.18459109228570014,0.010634208088743467,26.875
25,offpolicy,4.0,1.0,1.0,2462.5,0.21771759912371635,0.19819757434131755,410.0
25,onpolicy,60.0,0.38333333333333336,0.38333333333333336,5726.716666666666,0.17900013619412977,0.0,0.0
25,overall,64.0,0.421875,0.421875,5522.703125,0.18141997762722895,0.012387348396332347,25.625
26,offpolicy,4.0,1.0,1.0,3585.75,0.19945274479687214,0.18805366733000511,649.0
26,onpolicy,60.0,0.4166666666666667,0.4166666666666667,5623.883333333333,0.1933093350380659,0.0,0.0
26,overall,64.0,0.453125,0.453125,5496.5,0.1936932981479913,0.01175335420812532,40.5625
27,offpolicy,4.0,1.0,1.0,1396.0,0.25307683274149895,0.18375941992059613,265.5
27,onpolicy,60.0,0.6333333333333333,0.6333333333333333,4152.516666666666,0.22868712631364663,0.0,0.0
27,overall,64.0,0.65625,0.65625,3980.234375,0.2302114829653874,0.011484963745037258,16.59375
28,offpolicy,4.0,1.0,1.0,2209.5,0.1807147804647684,0.17810394889975523,370.25
28,onpolicy,60.0,0.4166666666666667,0.4166666666666667,6815.083333333333,0.1574357321485877,0.0,0.0
28,overall,64.0,0.453125,0.453125,6527.234375,0.158890672668349,0.011131496806234702,23.140625
29,offpolicy,4.0,1.0,1.0,2573.5,0.18122785538434982,0.13863862105618177,355.0
29,onpolicy,60.0,0.4666666666666667,0.4666666666666667,5010.933333333333,0.19749576424558957,0.0,0.0
29,overall,64.0,0.5,0.5,4858.59375,0.1964790199417621,0.00866491381601136,22.1875
30,offpolicy,4.0,1.0,1.0,2125.0,0.20241957157850266,0.15586486774700262,312.75
30,onpolicy,60.0,0.5666666666666667,0.5666666666666667,5000.416666666667,0.18506818901126584,0.0,0.0
30,overall,64.0,0.59375,0.59375,4820.703125,0.18615265042171814,0.009741554234187664,19.546875
31,offpolicy,4.0,1.0,1.0,2790.75,0.16085477732121944,0.14718144360043892,378.25
31,onpolicy,60.0,0.2833333333333333,0.2833333333333333,6167.383333333333,0.16066482538978258,0.0,0.0
31,overall,64.0,0.328125,0.328125,5956.34375,0.1606766973854974,0.009198840225027432,23.640625
32,offpolicy,4.0,1.0,1.0,3850.75,0.1890769526362419,0.18247044569511034,659.25
32,onpolicy,60.0,0.4,0.4,5687.233333333334,0.17968288141613206,0.0,0.0
32,overall,64.0,0.4375,0.4375,5572.453125,0.18027001086738892,0.011404402855944396,41.203125
33,offpolicy,4.0,1.0,1.0,2471.5,0.23693813383579254,0.21731252907688126,562.25
33,onpolicy,60.0,0.6166666666666667,0.6166666666666667,3592.0333333333333,0.24093602088590463,0.0,0.0
33,overall,64.0,0.640625,0.640625,3522.0,0.24068615294527262,0.013582033067305078,35.140625
34,offpolicy,4.0,1.0,1.0,2371.25,0.21616441756486893,0.191455357509329,425.5
34,onpolicy,60.0,0.4166666666666667,0.4166666666666667,5950.866666666667,0.1698432267953952,0.0,0.0
34,overall,64.0,0.453125,0.453125,5727.140625,0.17273830121848732,0.011965959844333062,26.59375
