_step,training/global_step,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_replay/offpolicy_rollout_ratio,exp_replay/offpolicy_token_ratio_llm,exp_replay/offpolicy_token_ratio_response,exp_replay/offpolicy_age_mean,exp_replay/offpolicy_age_max,exp_replay/offpolicy_age_min,exp_replay/offpolicy_age_count,exp_replay/entropy_llm_mean,exp_replay/entropy_llm_onpolicy_mean,exp_replay/entropy_llm_offpolicy_mean,exp_replay_diag/importance_ratio/off/mean,exp_replay_diag/importance_ratio/off/p90,exp_replay_diag/importance_ratio/off/p99,exp_replay_diag/importance_ratio/off/max,exp_replay_diag/importance_ratio_shaped/off/mean,exp_replay_diag/importance_ratio_shaped/off/p99,exp_replay_diag/adv/off/mean,exp_replay_diag/adv/on/mean,diag/exp_token_ratio,diag/teacher_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_onpolicy_token_mean,diag/adv_onpolicy_sample_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/entropy_onpolicy_token_mean,diag/entropy_onpolicy_token_std,diag/adv_self_off_token_mean,diag/entropy_offpolicy_token_mean
21,21.0,0.375,0.18385587632656097,0.06524637341499329,-0.2255860660225153,4.0,4.0,34.0,0.0625,0.0349452942609787,0.005333450622856617,3.75,10.0,1.0,4.0,0.8927268385887146,0.9053732752799988,0.5434815287590027,,,,,,,,0.2255860697478056,0.0053334506228566,0.0,0.1526228636503219,0.0,0.0,0.0625,-0.0362128689885139,-0.0073247598484158,0.3333333432674408,0.3333333432674408,0.1819275319576263,0.5464481711387634,0.8436357975006104,0.5434815287590027
22,22.0,0.59375,0.2112034410238266,0.22490733861923218,0.1464350763708353,4.0,4.0,37.0,0.0625,0.04625726118683815,0.00876865815371275,8.0,20.0,3.0,4.0,0.8250152468681335,0.8395775556564331,0.5247668027877808,32237.169921875,1.151123046875,3601.852294921875,11749079.0,0.8567966222763062,0.9999690651893616,0.9354125261306763,-0.20962796012560528,0.0087686581537127,0.0,0.1895628571510315,0.0,0.0,0.0625,-0.0544694662094116,-0.0065374504774808,0.4333333373069763,0.5666666626930237,0.208429604768753,0.5729599595069885,0.8214877247810364,0.524766743183136
23,23.0,0.546875,0.18596874177455902,0.11341515183448792,0.009612957015633583,4.0,4.0,38.0,0.0625,0.04505107179284096,0.007688443176448345,8.5,21.0,1.0,4.0,0.8083882331848145,0.8214382529258728,0.5317676067352295,26210.6669921875,1.1015639901161194,1929.0229568481445,15886470.0,0.8395441472530365,0.9996891617774963,0.9660898745059967,-0.12626871466636658,0.0076884431764483,0.0,0.170660600066185,0.0,0.0,0.0625,-0.0344877541065216,-0.0137947602197527,0.3833333253860473,0.5166666507720947,0.1832894682884216,0.5390498638153076,0.8873687386512756,0.5317676663398743
24,24.0,0.328125,0.1653653383255005,0.2300267517566681,0.08618483319878578,4.0,4.0,39.0,0.0625,0.034471701830625534,0.004859072621911764,12.75,17.0,7.0,4.0,0.8429009914398193,0.8561257719993591,0.47248148918151855,68151.578125,3.2344226837158203,28347.755859375,18490914.0,0.8376322984695435,0.9999719262123108,0.935412585735321,-0.14416593710581463,0.0048590726219117,0.0,0.1409583091735839,0.0,0.0,0.0625,-0.0351815558969974,-0.0090006990358233,0.2833333313465118,0.2833333313465118,0.1638657599687576,0.5125038623809814,1.1618554592132568,0.4724815189838409
25,25.0,0.421875,0.1425953507423401,0.08962211012840271,0.0802312083542347,4.0,4.0,39.0,0.0625,0.03578910604119301,0.00463993800804019,13.0,23.0,3.0,4.0,0.794131338596344,0.8041028380393982,0.5254846215248108,156627.92400360107,1.6379653215408325,3222.7919006347656,93296712.0,0.8566952347755432,0.9997945725917816,1.0715125501155853,-0.22302354659352983,0.0046399380080401,0.0,0.1296466588973999,0.0,0.0,0.0625,-0.025632370263338,-0.0105444053187966,0.2666666805744171,0.3833333253860473,0.140810489654541,0.4781724214553833,1.0514472723007202,0.5254846215248108
26,26.0,0.453125,0.15768787264823914,0.04681606963276863,0.23435913026332855,4.0,4.0,42.0,0.0625,0.0530109666287899,0.007379696238785982,18.75,23.0,10.0,4.0,0.8483831882476807,0.8648746013641357,0.5537781119346619,,,,,,,,-0.23435915634036064,0.0073796962387859,0.0,0.1392107456922531,0.0,0.0,0.0625,-0.0309733301401138,-0.0074903825297951,0.4166666567325592,0.4166666567325592,0.1547431498765945,0.504654049873352,0.9960734248161316,0.5537781119346619
27,27.0,0.65625,0.16634219884872437,0.28046539425849915,-0.11822740361094475,4.0,4.0,44.0,0.0625,0.029071995988488197,0.004169038496911526,9.75,19.0,5.0,4.0,0.8339638113975525,0.8431894183158875,0.5258522629737854,64034.6598072052,3.8475905656814575,2606058.3198394775,8917556.0,0.8426623344421387,0.9998686015605927,0.6444824784994125,0.05785810947418213,0.0041690384969115,0.0,0.1434039324522018,0.0,0.0,0.0625,-0.0550334118306636,-0.0013403982156887,0.5166666507720947,0.6333333253860474,0.1648371219635009,0.5206273794174194,0.3409229218959808,0.5258522629737854
28,28.0,0.453125,0.11987210810184479,0.07644004374742508,0.25346846133470535,4.0,4.0,46.0,0.0625,0.0328337699174881,0.0035452418960630894,7.5,14.0,1.0,4.0,0.8007341623306274,0.8121466636657715,0.4645596444606781,,,,,,,,-0.2534684557467699,0.003545241896063,0.0,0.1079754754900932,0.0,0.0,0.0625,-0.0331296063959598,-0.0115743735805153,0.4166666567325592,0.4166666567325592,0.1186457723379135,0.4371998310089111,1.0254650115966797,0.4645596444606781
29,29.0,0.5,0.15249545872211456,0.10878578573465347,-0.14780238829553127,4.0,4.0,47.0,0.0625,0.03477579355239868,0.0045666503719985485,13.25,22.0,1.0,4.0,0.8079223036766052,0.8200193047523499,0.4721602201461792,,,,,,,,0.14780237339437008,0.0045666503719985,0.0,0.1313169300556183,0.0,0.0,0.0625,-0.0364555791020393,-0.0071832975372672,0.3333333432674408,0.4666666686534881,0.151028960943222,0.4914771616458893,0.8790056109428406,0.4721602201461792
30,30.0,0.59375,0.1425999104976654,0.11064579337835312,-0.10896406322717667,4.0,4.0,49.0,0.0625,0.03315136581659317,0.004054776858538389,12.0,23.0,2.0,4.0,0.796656608581543,0.8063017725944519,0.5153581500053406,,,,,,,,0.10896404273808002,0.0040547768585383,0.0,0.122310996055603,0.0,0.0,0.0625,-0.0367395542562007,-0.011269967071712,0.4333333373069763,0.5666666626930237,0.1410822868347168,0.478307157754898,1.0743755102157593,0.5153582096099854
31,31.0,0.328125,0.1443842202425003,0.13445161283016205,-0.11262413300573826,4.0,4.0,49.0,0.0625,0.027528611943125725,0.003968982491642237,14.75,28.0,5.0,4.0,0.7340307235717773,0.7412819862365723,0.47787490487098694,106.66782760620117,1.0000896453857422,604.1789588928223,44301.4375,0.8456562161445618,0.9991287887096405,0.9660899043083191,0.01192522474697658,0.0039689824916422,0.0,0.1441766321659088,0.0,0.0,0.0625,-0.02874206751585,-0.0074538150802254,0.2833333313465118,0.2833333313465118,0.1430553346872329,0.4782682657241821,0.8385878801345825,0.4778749346733093
32,32.0,0.4375,0.14260827004909515,0.3594352900981903,0.16164197213947773,4.0,4.0,52.0,0.0625,0.056839246302843094,0.007394073065370321,20.25,29.0,7.0,4.0,0.8010833263397217,0.8205175399780273,0.47860345244407654,,,,,,,,-0.16164196841418743,0.0073940730653703,0.0,0.1300874501466751,0.0,0.0,0.0625,-0.0414289720356464,-0.0165857337415218,0.4000000059604645,0.4000000059604645,0.1401054114103317,0.4749326109886169,1.44123375415802,0.4786034524440765
33,33.0,0.640625,0.1939224898815155,0.8078857660293579,0.02948947437107563,4.0,4.0,54.0,0.0625,0.05943760275840759,0.009977462701499462,14.0,30.0,6.0,4.0,0.8262379765510559,0.8426646590232849,0.5662979483604431,,,,,,,,-0.029489463195204735,0.0099774627014994,0.0,0.1678645014762878,0.0,0.0,0.0625,-0.0566533841192722,-0.0108148213475942,0.4833333194255829,0.6166666746139526,0.1901696920394897,0.5485734343528748,0.9484663605690002,0.5662980079650879
34,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0046434602700173,0.0,0.1256517022848129,0.0,0.0,0.0625,-0.0307192485779523,-0.0103116966784,0.3000000119209289,0.4166666567325592,0.1352613270282745,0.4646066427230835,0.9597266912460328,0.5746902227401733
