_step,training/global_step,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_replay/offpolicy_rollout_ratio,exp_replay/offpolicy_token_ratio_llm,exp_replay/offpolicy_token_ratio_response,exp_replay/offpolicy_age_mean,exp_replay/offpolicy_age_max,exp_replay/offpolicy_age_min,exp_replay/offpolicy_age_count,exp_replay/entropy_llm_mean,exp_replay/entropy_llm_onpolicy_mean,exp_replay/entropy_llm_offpolicy_mean,exp_replay_diag/importance_ratio/off/mean,exp_replay_diag/importance_ratio/off/p90,exp_replay_diag/importance_ratio/off/p99,exp_replay_diag/importance_ratio/off/max,exp_replay_diag/importance_ratio_shaped/off/mean,exp_replay_diag/importance_ratio_shaped/off/p99,exp_replay_diag/adv/off/mean,exp_replay_diag/adv/on/mean
21,21,0.375,0.18385587632656097,0.06524637341499329,-0.2255860660225153,4,4,34,0.0625,0.0349452942609787,0.005333450622856617,3.75,10.0,1.0,4.0,0.8927268385887146,0.9053732752799988,0.5434815287590027,,,,,,,,0.2255860697478056
22,22,0.59375,0.2112034410238266,0.22490733861923218,0.1464350763708353,4,4,37,0.0625,0.04625726118683815,0.00876865815371275,8.0,20.0,3.0,4.0,0.8250152468681335,0.8395775556564331,0.5247668027877808,32237.169921875,1.151123046875,3601.852294921875,11749079.0,0.8567966222763062,0.9999690651893616,0.9354125261306763,-0.20962796012560528
23,23,0.546875,0.18596874177455902,0.11341515183448792,0.009612957015633583,4,4,38,0.0625,0.04505107179284096,0.007688443176448345,8.5,21.0,1.0,4.0,0.8083882331848145,0.8214382529258728,0.5317676067352295,26210.6669921875,1.1015639901161194,1929.0229568481445,15886470.0,0.8395441472530365,0.9996891617774963,0.9660898745059967,-0.12626871466636658
24,24,0.328125,0.1653653383255005,0.2300267517566681,0.08618483319878578,4,4,39,0.0625,0.034471701830625534,0.004859072621911764,12.75,17.0,7.0,4.0,0.8429009914398193,0.8561257719993591,0.47248148918151855,68151.578125,3.2344226837158203,28347.755859375,18490914.0,0.8376322984695435,0.9999719262123108,0.935412585735321,-0.14416593710581463
25,25,0.421875,0.1425953507423401,0.08962211012840271,0.0802312083542347,4,4,39,0.0625,0.03578910604119301,0.00463993800804019,13.0,23.0,3.0,4.0,0.794131338596344,0.8041028380393982,0.5254846215248108,156627.92400360107,1.6379653215408325,3222.7919006347656,93296712.0,0.8566952347755432,0.9997945725917816,1.0715125501155853,-0.22302354659352983
26,26,0.453125,0.15768787264823914,0.04681606963276863,0.23435913026332855,4,4,42,0.0625,0.0530109666287899,0.007379696238785982,18.75,23.0,10.0,4.0,0.8483831882476807,0.8648746013641357,0.5537781119346619,,,,,,,,-0.23435915634036064
27,27,0.65625,0.16634219884872437,0.28046539425849915,-0.11822740361094475,4,4,44,0.0625,0.029071995988488197,0.004169038496911526,9.75,19.0,5.0,4.0,0.8339638113975525,0.8431894183158875,0.5258522629737854,64034.6598072052,3.8475905656814575,2606058.3198394775,8917556.0,0.8426623344421387,0.9998686015605927,0.6444824784994125,0.05785810947418213
28,28,0.453125,0.11987210810184479,0.07644004374742508,0.25346846133470535,4,4,46,0.0625,0.0328337699174881,0.0035452418960630894,7.5,14.0,1.0,4.0,0.8007341623306274,0.8121466636657715,0.4645596444606781,,,,,,,,-0.2534684557467699
29,29,0.5,0.15249545872211456,0.10878578573465347,-0.14780238829553127,4,4,47,0.0625,0.03477579355239868,0.0045666503719985485,13.25,22.0,1.0,4.0,0.8079223036766052,0.8200193047523499,0.4721602201461792,,,,,,,,0.14780237339437008
30,30,0.59375,0.1425999104976654,0.11064579337835312,-0.10896406322717667,4,4,49,0.0625,0.03315136581659317,0.004054776858538389,12.0,23.0,2.0,4.0,0.796656608581543,0.8063017725944519,0.5153581500053406,,,,,,,,0.10896404273808002
31,31,0.328125,0.1443842202425003,0.13445161283016205,-0.11262413300573826,4,4,49,0.0625,0.027528611943125725,0.003968982491642237,14.75,28.0,5.0,4.0,0.7340307235717773,0.7412819862365723,0.47787490487098694,106.66782760620117,1.0000896453857422,604.1789588928223,44301.4375,0.8456562161445618,0.9991287887096405,0.9660899043083191,0.01192522474697658
32,32,0.4375,0.14260827004909515,0.3594352900981903,0.16164197213947773,4,4,52,0.0625,0.056839246302843094,0.007394073065370321,20.25,29.0,7.0,4.0,0.8010833263397217,0.8205175399780273,0.47860345244407654,,,,,,,,-0.16164196841418743
33,33,0.640625,0.1939224898815155,0.8078857660293579,0.02948947437107563,4,4,54,0.0625,0.05943760275840759,0.009977462701499462,14.0,30.0,6.0,4.0,0.8262379765510559,0.8426646590232849,0.5662979483604431,,,,,,,,-0.029489463195204735
