segment,lo,hi,n,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,exp_replay/offpolicy_token_ratio_llm,exp_replay/offpolicy_rollout_ratio,exp_replay/offpolicy_age_mean,exp_replay/entropy_llm_onpolicy_mean,exp_replay/entropy_llm_offpolicy_mean,diag/exp_token_ratio,diag/offpolicy_sample_ratio,diag/entropy_onpolicy_token_mean,diag/entropy_offpolicy_token_mean,diag/adv_onpolicy_token_mean,diag/adv_self_off_token_mean
pre (step 1-9),1.0,9.0,9.0,0.3020833333333333,0.1389482534594006,0.007876650999403663,0.0,0.0,,0.6791350709067451,0.0,0.0,0.0,0.13894825097587368,,-0.023411617200407665,
post (step 10-34),10.0,34.0,25.0,0.5026041666666666,0.16400560550391674,0.2072713547386229,0.036725972313433886,0.0625,9.90625,0.8186548327406248,0.4751604236662388,0.005466560851782508,0.0625,0.16117261528968807,0.47914162158966067,-0.04131677441298956,0.8880147337913513
