diag/exp_token_ratio,diag/teacher_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_teacher_token_mean,diag/adv_onpolicy_token_mean,diag/adv_teacher_sample_mean,diag/adv_onpolicy_sample_mean,diag/onpolicy_adv_pos_ratio,diag/teacher_adv_pos_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/group_teacher_minus_on_reward_mean,diag/group_teacher_minus_on_reward_std,diag/group_gap_count,diag/group_non_teacher_reward_mean,diag/group_all_reward_mean,diag/entropy_teacher_token_mean,diag/entropy_onpolicy_token_mean,diag/entropy_offpolicy_token_mean,diag/entropy_onpolicy_token_std,grad_dir/ln/valid,grad_dir/ln/cos,grad_dir/ln/dot,grad_dir/ln/norm_on,grad_dir/ln/norm_teacher,grad_dir/ln/param_count,grad_dir/ln/vec_dim,grad_dir/ln/abs_mean_on,grad_dir/ln/abs_mean_teacher,grad_dir/proj/valid,grad_dir/proj/cos,grad_dir/proj/dot,grad_dir/proj/norm_on,grad_dir/proj/norm_teacher,grad_dir/proj/param_count,grad_dir/proj/vec_dim,grad_dir/proj/abs_mean_on,grad_dir/proj/abs_mean_teacher,grad_dir/flat/valid,grad_dir/flat/cos,grad_dir/flat/dot,grad_dir/flat/norm_on,grad_dir/flat/norm_teacher,grad_dir/flat/param_count,grad_dir/flat/vec_dim,grad_dir/flat/abs_mean_on,grad_dir/flat/abs_mean_teacher,grad_dir/flat/layer_min,grad_dir/flat/layer_max,grad_dir/flat/layer_count,grad_dir/teacher_samples_global,grad_dir/on_samples_global,grad_dir/recorded,grad_dir/missing_reason,actor/on_pg_clipfrac,actor/on_pg_clipfrac_lower,actor/on_pg_cliphit_rate,actor/off_pg_cliphit_rate,actor/self_off_pg_cliphit_rate,actor/teacher_off_pg_cliphit_rate,_step_local
0.006751525681465864,0.006751525681465864,0.1457940936088562,0.04630863666534424,0.125,0.125,0.9011526703834534,-0.03406818211078644,0.11539450287818909,-0.009134352207183838,0.3571428656578064,1.0,0.3571428656578064,1.0,0.6428571428571428,0.2575393768188564,8.0,0.3571428571428571,0.4375,0.27703943848609924,0.12445206195116043,0.27703943848609924,0.4176396131515503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.01290220208466053,0.01290220208466053,0.19081230461597443,0.06761724501848221,0.125,0.125,1.166955828666687,-0.020014388486742973,0.19827993214130402,0.0033129211515188217,0.1607142835855484,1.0,0.1607142835855484,1.0,0.8392857142857143,0.20748125068968304,8.0,0.1607142857142857,0.265625,0.320977121591568,0.1614515483379364,0.320977121591568,0.4668733477592468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.013392159715294838,0.013392159715294838,0.15977820754051208,0.08381719142198563,0.125,0.125,1.2862861156463623,-0.018517758697271347,0.17941886186599731,-0.002232349244877696,0.1607142835855484,0.875,0.2857142984867096,1.0,0.7142857142857143,0.31134992453861954,8.0,0.2857142857142857,0.375,0.3666391968727112,0.14643341302871704,0.3666391968727112,0.4553612172603607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.008366466499865055,0.008366466499865055,0.1346740573644638,0.06212381273508072,0.125,0.125,1.423891544342041,-0.02210155315697193,0.1665066033601761,-0.0008817416382953525,0.2142857164144516,1.0,0.2142857164144516,1.0,0.7857142857142857,0.1237179148263484,8.0,0.21428571428571427,0.3125,0.2804228961467743,0.11917990446090698,0.2804228961467743,0.4072818160057068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.010392648167908192,0.010392648167908192,0.17522810399532318,0.059309251606464386,0.125,0.125,1.5150184631347656,-0.03247736766934395,0.1867012083530426,-0.0050286524929106236,0.2678571343421936,1.0,0.2678571343421936,1.0,0.7321428571428572,0.16656034023372884,8.0,0.26785714285714285,0.359375,0.33138033747673035,0.1657623052597046,0.33138033747673035,0.48413875699043274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.004228945821523666,0.004228945821523666,0.11814817041158676,0.03579358011484146,0.109375,0.109375,0.6132230162620544,-0.004730765242129564,0.057609397917985916,1.3290266906551551e-05,0.15789473056793213,0.7142857313156128,0.4035087823867798,1.0,0.5306122448979591,0.44337879555919246,7.0,0.46938775510204084,0.5357142857142857,0.24103912711143494,0.10629980266094208,0.24103912711143494,0.38896533846855164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0.00469919154420495,0.00469919154420495,0.11311526596546173,0.0415433906018734,0.125,0.125,1.255130410194397,-0.015320089645683765,0.10985850542783737,0.0025766012258827686,0.25,1.0,0.25,1.0,0.75,0.2230356427999428,8.0,0.24999999999999997,0.34375,0.24456635117530823,0.09815539419651031,0.24456635117530823,0.3694421648979187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.006596494931727648,0.006596494931727648,0.12569628655910492,0.052479635924100876,0.125,0.125,1.3381117582321167,-0.017199967056512833,0.15803922712802887,-0.0029018467757850885,0.125,1.0,0.125,1.0,0.875,0.11151782139997138,8.0,0.12499999999999999,0.234375,0.2327652871608734,0.11699625104665756,0.2327652871608734,0.4147282838821411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.009790988638997078,0.009790988638997078,0.137848898768425,0.07102696597576141,0.125,0.125,1.3031530380249023,-0.025145869702100754,0.13527581095695496,-0.0028470808174461126,0.2142857164144516,0.875,0.3392857015132904,1.0,0.6607142857142858,0.3566961492042532,8.0,0.3392857142857143,0.421875,0.270445317029953,0.1323537528514862,0.270445317029953,0.4373606741428375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0.006875332444906235,0.006875332444906235,0.13862460851669312,0.04959676414728165,0.125,0.125,0.8963431715965271,-0.02342013642191887,0.09353567659854889,-0.0019050022820010781,0.3571428656578064,0.875,0.4821428656578064,1.0,0.5178571428571429,0.3707239195004767,8.0,0.4821428571428571,0.546875,0.32150572538375854,0.1322457194328308,0.32150572538375854,0.4443497657775879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10
