step,n,teacher_n,succ_all,outcome_all,succ_teacher,outcome_teacher,resp_tokens_teacher_mean,succ_on,outcome_on,resp_tokens_on_mean,on_n
48,64,8,0.6875,0.71875,0.75,1.0,3252.0,0.6785714285714286,0.6785714285714286,3468.0178571428573,56
49,64,7,0.5625,0.59375,0.7142857142857143,1.0,3281.285714285714,0.543859649122807,0.543859649122807,4330.543859649123,57
50,64,8,0.71875,0.75,0.75,1.0,1560.5,0.7142857142857143,0.7142857142857143,2117.6785714285716,56
51,64,8,0.71875,0.75,0.75,1.0,2180.125,0.7142857142857143,0.7142857142857143,2925.8571428571427,56
52,64,8,0.578125,0.65625,0.375,1.0,3420.625,0.6071428571428571,0.6071428571428571,4828.428571428572,56
53,64,8,0.546875,0.609375,0.5,1.0,3195.0,0.5535714285714286,0.5535714285714286,4079.25,56
54,64,8,0.484375,0.5625,0.375,1.0,2807.5,0.5,0.5,4816.160714285715,56
55,64,8,0.53125,0.59375,0.5,1.0,3559.875,0.5357142857142857,0.5357142857142857,4323.428571428572,56
56,64,8,0.46875,0.5625,0.25,1.0,3138.625,0.5,0.5,5089.589285714285,56
57,64,8,0.859375,0.859375,1.0,1.0,2697.625,0.8392857142857143,0.8392857142857143,3199.339285714286,56
58,64,7,0.703125,0.71875,0.8571428571428571,1.0,1926.0,0.6842105263157895,0.6842105263157895,3986.2631578947367,57
59,64,8,0.4375,0.484375,0.625,1.0,4235.125,0.4107142857142857,0.4107142857142857,6568.017857142857,56
60,64,7,0.578125,0.625,0.5714285714285714,1.0,2130.714285714286,0.5789473684210527,0.5789473684210527,3618.6491228070176,57
61,64,8,0.34375,0.453125,0.125,1.0,3569.5,0.375,0.375,4734.910714285715,56
62,64,8,0.546875,0.59375,0.625,1.0,3173.75,0.5357142857142857,0.5357142857142857,3829.910714285714,56
63,64,8,0.75,0.796875,0.625,1.0,3090.5,0.7678571428571429,0.7678571428571429,3404.875,56
64,64,8,0.609375,0.65625,0.625,1.0,3411.5,0.6071428571428571,0.6071428571428571,3403.4464285714284,56
65,64,8,0.671875,0.71875,0.625,1.0,3145.0,0.6785714285714286,0.6785714285714286,3751.125,56
66,64,8,0.53125,0.578125,0.625,1.0,3545.125,0.5178571428571429,0.5178571428571429,4746.160714285715,56
67,64,8,0.546875,0.609375,0.5,1.0,3490.375,0.5535714285714286,0.5535714285714286,3883.214285714286,56
68,64,6,0.578125,0.609375,0.6666666666666666,1.0,4130.833333333333,0.5689655172413793,0.5689655172413793,5653.827586206897,58
69,64,8,0.6875,0.734375,0.625,1.0,3256.375,0.6964285714285714,0.6964285714285714,3279.535714285714,56
70,64,8,0.5625,0.625,0.5,1.0,3683.875,0.5714285714285714,0.5714285714285714,5229.714285714285,56
71,64,8,0.6875,0.734375,0.625,1.0,3502.625,0.6964285714285714,0.6964285714285714,4139.928571428572,56
72,64,8,0.90625,0.921875,0.875,1.0,2826.0,0.9107142857142857,0.9107142857142857,2421.75,56
73,64,8,0.625,0.6875,0.5,1.0,2753.875,0.6428571428571429,0.6428571428571429,3493.375,56
74,64,8,0.71875,0.75,0.75,1.0,4344.75,0.7142857142857143,0.7142857142857143,4242.071428571428,56
75,64,8,0.703125,0.75,0.625,1.0,4217.5,0.7142857142857143,0.7142857142857143,4553.589285714285,56
76,64,8,0.484375,0.546875,0.5,1.0,3911.125,0.48214285714285715,0.48214285714285715,5267.482142857143,56
77,64,8,0.625,0.671875,0.625,1.0,3276.125,0.625,0.625,4718.839285714285,56
78,64,8,0.71875,0.75,0.75,1.0,4252.125,0.7142857142857143,0.7142857142857143,3681.1428571428573,56
79,64,8,0.765625,0.78125,0.875,1.0,2424.0,0.75,0.75,2969.910714285714,56
80,64,7,0.5,0.5625,0.42857142857142855,1.0,2544.4285714285716,0.5087719298245614,0.5087719298245614,5547.456140350877,57
81,64,8,0.6875,0.75,0.5,1.0,4118.25,0.7142857142857143,0.7142857142857143,3738.089285714286,56
82,64,8,0.78125,0.828125,0.625,1.0,2928.75,0.8035714285714286,0.8035714285714286,2759.589285714286,56
83,64,8,0.765625,0.796875,0.75,1.0,3990.875,0.7678571428571429,0.7678571428571429,3982.125,56
84,64,8,0.796875,0.828125,0.75,1.0,3989.75,0.8035714285714286,0.8035714285714286,2942.1785714285716,56
85,64,8,0.71875,0.75,0.75,1.0,3835.625,0.7142857142857143,0.7142857142857143,4327.303571428572,56
86,64,8,0.859375,0.890625,0.75,1.0,3130.75,0.875,0.875,3031.660714285714,56
87,64,8,0.921875,0.921875,1.0,1.0,3483.625,0.9107142857142857,0.9107142857142857,2864.3571428571427,56
88,64,8,0.8125,0.828125,0.875,1.0,3182.875,0.8035714285714286,0.8035714285714286,3803.75,56
89,64,8,0.828125,0.859375,0.75,1.0,3735.375,0.8392857142857143,0.8392857142857143,3547.375,56
90,64,8,0.703125,0.75,0.625,1.0,2417.25,0.7142857142857143,0.7142857142857143,3726.3571428571427,56
91,64,8,0.75,0.796875,0.625,1.0,2271.125,0.7678571428571429,0.7678571428571429,3288.8035714285716,56
92,64,7,0.59375,0.640625,0.5714285714285714,1.0,3442.8571428571427,0.5964912280701754,0.5964912280701754,4104.368421052632,57
93,64,8,0.78125,0.78125,1.0,1.0,2064.125,0.75,0.75,2936.910714285714,56
94,64,8,0.890625,0.890625,1.0,1.0,2167.25,0.875,0.875,2215.839285714286,56
95,64,8,0.875,0.890625,0.875,1.0,2928.125,0.875,0.875,2443.75,56
96,64,8,0.765625,0.8125,0.625,1.0,4076.625,0.7857142857142857,0.7857142857142857,3054.410714285714,56
97,64,7,0.78125,0.796875,0.8571428571428571,1.0,4104.857142857143,0.7719298245614035,0.7719298245614035,3487.684210526316,57
98,64,8,0.796875,0.796875,1.0,1.0,2141.625,0.7678571428571429,0.7678571428571429,3101.7321428571427,56
99,64,8,0.875,0.875,1.0,1.0,4721.875,0.8571428571428571,0.8571428571428571,3596.0714285714284,56
100,64,8,0.78125,0.8125,0.75,1.0,4280.25,0.7857142857142857,0.7857142857142857,3991.875,56
