_step,critic/rewards/mean,actor/entropy_loss
1,0.453125,0.10374356061220169
2,0.4375,0.14494165778160095
3,0.375,0.1530771255493164
4,0.390625,0.13783183693885803
5,0.53125,0.17707449197769165
6,0.34375,0.11855284869670868
7,0.296875,0.1344263255596161
8,0.4375,0.13995499908924103
9,0.4375,0.12547124922275543
10,0.328125,0.15976589918136597
11,0.53125,0.17070239782333374
12,0.578125,0.1403629034757614
13,0.578125,0.15379397571086884
14,0.421875,0.14491021633148193
15,0.484375,0.1800767183303833
16,0.28125,0.13789895176887512
17,0.3125,0.1459190845489502
18,0.453125,0.144097700715065
19,0.40625,0.12319548428058624
20,0.515625,0.15763922035694122
21,0.34375,0.16745184361934662
22,0.484375,0.16649281978607178
23,0.53125,0.16705873608589172
24,0.421875,0.12584254145622253
25,0.25,0.15101483464241028
26,0.4375,0.17270316183567047
27,0.28125,0.12725485861301422
28,0.34375,0.13887682557106018
29,0.484375,0.13399411737918854
30,0.375,0.16515573859214783
31,0.359375,0.11478760838508606
32,0.234375,0.13663366436958313
33,0.46875,0.18429559469223022
34,0.40625,0.1296370029449463
35,0.34375,0.13899296522140503
36,0.390625,0.1402921825647354
37,0.359375,0.1371038258075714
38,0.359375,0.16246455907821655
39,0.40625,0.17891551554203033
40,0.484375,0.2000582069158554
41,0.34375,0.14030082523822784
42,0.40625,0.1345064789056778
43,0.484375,0.18515987694263458
44,0.421875,0.14438234269618988
45,0.515625,0.13893939554691315
46,0.5,0.1271972507238388
47,0.53125,0.1272038370370865
48,0.5,0.1392192393541336
49,0.40625,0.1368279606103897
50,0.671875,0.14861123263835907
51,0.546875,0.14729760587215424
52,0.46875,0.13937605917453766
53,0.53125,0.14041823148727417
54,0.53125,0.10667315125465393
55,0.6875,0.15453416109085083
56,0.578125,0.17685891687870026
57,0.578125,0.1531444787979126
58,0.5625,0.15226386487483978
59,0.6875,0.20126089453697205
60,0.71875,0.19514931738376617
61,0.59375,0.12390483170747757
62,0.546875,0.1519698053598404
63,0.453125,0.13073718547821045
64,0.71875,0.14360083639621735
65,0.515625,0.1540679633617401
66,0.78125,0.17169129848480225
67,0.765625,0.13949351012706757
68,0.65625,0.14551392197608948
69,0.5625,0.1438094824552536
70,0.625,0.17141275107860565
71,0.625,0.17306281626224518
72,0.53125,0.12834739685058594
73,0.453125,0.143249973654747
74,0.765625,0.1499267816543579
75,0.765625,0.12923406064510345
76,0.609375,0.1300668716430664
77,0.703125,0.12207994610071182
78,0.65625,0.11869551986455917
79,0.59375,0.1393975466489792
80,0.65625,0.16388818621635437
81,0.671875,0.11454688757658005
82,0.8125,0.11611556261777878
83,0.8125,0.16246159374713898
84,0.625,0.13088059425354004
85,0.671875,0.10978874564170837
86,0.703125,0.14618010818958282
87,0.71875,0.12958677113056183
88,0.921875,0.13545143604278564
89,0.65625,0.11358136683702469
90,0.6875,0.12902183830738068
91,0.734375,0.11834105104207993
92,0.71875,0.149966761469841
93,0.734375,0.1061350405216217
94,0.734375,0.11257011443376541
95,0.515625,0.11888469010591507
96,0.609375,0.11578183621168137
97,0.46875,0.11251708120107651
98,0.65625,0.10274004191160202
