_step,critic/rewards_onpolicy/mean,actor/entropy_loss,diag/teacher_token_ratio,diag/exp_token_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/entropy_onpolicy_token_mean,diag/entropy_teacher_token_mean,diag/group_teacher_minus_on_reward_mean,diag/adv_onpolicy_token_mean,diag/adv_teacher_token_mean,diag/onpolicy_adv_pos_ratio,diag/teacher_adv_pos_ratio,actor/off_pg_loss,actor/on_pg_loss
11,0.25,0.11776477843523026,0.011280370876193047,0.011280370876193047,0.25,1,0.11511115729808807,0.35035306215286255,0.75,-0.04698077216744423,1.4771591424942017,0.25,1.0,-0.19376586005091667,0.21545036509633064
12,0.2857142984867096,0.10618599504232407,0.009149115532636642,0.009149115532636642,0.2857142984867096,1,0.10439885407686234,0.29973435401916504,0.7142857142857142,-0.04215534031391144,1.887747049331665,0.2857142984867096,1.0,-0.03068525530397892,0.13519463129341602
13,0.5178571343421936,0.0872083231806755,0.008568455465137959,0.008568455465137959,0.5178571343421936,1,0.08551336079835892,0.28332754969596863,0.4821428571428571,-0.032942645251750946,1.0500727891921997,0.3928571343421936,0.875,-0.09205576777458191,0.14462948217988014
14,0.4285714328289032,0.0932544693350792,0.007024019490927458,0.007024019490927458,0.4285714328289032,1,0.0920829102396965,0.2588750422000885,0.5714285714285715,-0.02941146306693554,1.2114015817642212,0.1785714328289032,0.75,0.0,0.2696550227701664
15,0.2678571343421936,0.09748835116624832,0.007297692820429802,0.007297692820429802,0.2678571343421936,1,0.09635838866233826,0.2511962056159973,0.7321428571428571,-0.03595433011651039,1.7518497705459595,0.1428571492433548,0.875,-0.322403434664011,0.2105299662798643
16,0.6071428656578064,0.0972457006573677,0.007614403963088989,0.007614403963088989,0.6071428656578064,1,0.09581540524959564,0.28365659713745117,0.3928571428571429,-0.022101562470197678,0.7688458561897278,0.2321428507566452,0.625,0.0,0.04777286946773529
17,0.375,0.11527827382087708,0.011685618199408054,0.011685618199408054,0.375,1,0.1125217005610466,0.34841567277908325,0.625,-0.04688523709774017,1.7828869819641113,0.25,0.875,-0.322403434664011,0.09538996033370495
18,0.3684210479259491,0.08435028046369553,0.005544094368815422,0.005544094368815422,0.3684210479259491,1,0.08311136811971664,0.3065756857395172,0.6122448979591837,-0.032853275537490845,1.486958384513855,0.3684210479259491,1.0,0.0,0.1110064648091793
19,0.4642857015132904,0.1459304541349411,0.01054197084158659,0.01054197084158659,0.4642857015132904,1,0.14492131769657135,0.24064978957176208,0.5357142857142857,-0.062344953417778015,1.3859069347381592,0.3392857015132904,0.875,-0.23252395540475845,0.4208567123860121
20,0.5178571343421936,0.11629907041788101,0.006971233058720827,0.006971233058720827,0.5178571343421936,1,0.11537253111600876,0.2482813149690628,0.4821428571428571,-0.049332618713378906,1.044924259185791,0.3928571343421936,0.875,-0.214796781539917,0.08177679777145386
