diag/exp_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_teacher_sample_mean,diag/adv_onpolicy_sample_mean,diag/teacher_adv_pos_ratio,diag/group_teacher_minus_on_reward_std,diag/group_gap_count,diag/entropy_offpolicy_token_mean,diag/entropy_onpolicy_token_std,_step,critic/rewards_onpolicy/mean,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,diag/teacher_token_ratio,diag/adv_teacher_token_mean,diag/adv_onpolicy_token_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/group_teacher_minus_on_reward_mean,diag/group_non_teacher_reward_mean,diag/group_all_reward_mean,diag/entropy_teacher_token_mean,diag/entropy_onpolicy_token_mean,label
0.0071004279889166355,0.14402595162391663,0.04929964244365692,0.125,0.125,0.1313578337430954,-0.024446729570627213,1.0,0.23076514255928723,8.0,0.27703946828842163,0.40744921565055847,1,0.4464285671710968,0.515625,0.12226283550262451,0.0033052191138267517,-0.13982170447707176,0.0071004279889166355,1.1987966299057007,-0.05659465864300728,0.4464285671710968,0.4464285671710968,1.0,0.5535714285714286,0.4464285714285714,0.515625,0.27703946828842163,0.1211559996008873,Exp-0 baseline (LUFFY no-logprob)
0.012642065063118935,0.19393904507160187,0.06518576294183731,0.125,0.125,0.2751898765563965,-0.04094415903091431,0.875,0.3025191847517396,8.0,0.3203413486480713,0.4708242416381836,2,0.2321428507566452,0.328125,0.1649983823299408,0.0031974988523870707,0.05021749809384346,0.012642065063118935,1.6096155643463135,-0.05666876584291458,0.1071428582072258,0.2321428507566452,1.0,0.7678571428571429,0.23214285714285712,0.328125,0.3203413486480713,0.163009375333786,Exp-0 baseline (LUFFY no-logprob)
0.013663925230503082,0.1518651247024536,0.08997408300638199,0.125,0.125,0.19363583624362946,-0.030435694381594658,1.0,0.24679062430509385,8.0,0.3693656623363495,0.43554943799972534,3,0.3392857015132904,0.421875,0.1380767673254013,0.0036018334794789553,0.1841839961707592,0.013663925230503082,1.4559000730514526,-0.057889413088560104,0.3392857015132904,0.3392857015132904,1.0,0.6607142857142857,0.3392857142857143,0.421875,0.3693656623363495,0.1348726749420166,Exp-0 baseline (LUFFY no-logprob)
0.008029055781662464,0.1375141590833664,0.05838711932301521,0.125,0.125,0.2430708110332489,-0.045309096574783325,1.0,0.13832083379312204,8.0,0.285876989364624,0.405392050743103,4,0.1071428582072258,0.21875,0.1206807866692543,0.003364001866430044,0.05461560748517513,0.008029055781662464,1.8925710916519165,-0.04661812260746956,0.1071428582072258,0.1071428582072258,1.0,0.8928571428571428,0.10714285714285714,0.21875,0.285876989364624,0.11934366822242737,Exp-0 baseline (LUFFY no-logprob)
0.010430342517793179,0.169179767370224,0.061652425676584244,0.125,0.125,0.18479467928409576,-0.037554387003183365,1.0,0.20748125068968307,8.0,0.3343590497970581,0.4728929102420807,5,0.3035714328289032,0.390625,0.16072997450828552,0.04249660670757294,0.03570715896785259,0.010430342517793179,1.3548109531402588,-0.056746527552604675,0.3035714328289032,0.3035714328289032,1.0,0.6964285714285714,0.30357142857142855,0.390625,0.3343590497970581,0.15889988839626312,Exp-0 baseline (LUFFY no-logprob)
0.004194062203168869,0.12400075793266296,0.03382287546992302,0.109375,0.109375,0.13525208830833435,-0.03128659352660179,0.8571428656578064,0.4071415784338776,7.0,0.2462720423936844,0.39777871966362,6,0.35087719559669495,0.421875,0.1119052916765213,0.00887699518352747,0.0634122621268034,0.004194062203168869,1.5457576513290405,-0.04414774104952812,0.22807016968727112,0.35087719559669495,1.0,0.5918367346938774,0.40816326530612246,0.48214285714285715,0.2462720423936844,0.11133936792612076,Exp-0 baseline (LUFFY no-logprob)
0.004905232228338718,0.1062888652086258,0.04615001007914543,0.125,0.125,0.11020176112651825,-0.020965805277228355,0.875,0.293965672020613,8.0,0.2466978132724762,0.36738961935043335,7,0.3392857015132904,0.421875,0.09611579030752182,0.0030834185890853405,0.05282572843134403,0.004905232228338718,1.4636578559875488,-0.03689689561724663,0.2142857164144516,0.3392857015132904,1.0,0.6607142857142857,0.3392857142857143,0.421875,0.2466978132724762,0.09537351876497269,Exp-0 baseline (LUFFY no-logprob)
0.0074181510135531425,0.11903870850801468,0.0623171329498291,0.125,0.125,0.13495637476444244,-0.028514530509710312,1.0,0.3108374140273073,8.0,0.2358545958995819,0.41501423716545105,8,0.3392857015132904,0.421875,0.11700684577226639,0.012515448965132236,0.08264543488621712,0.0074181510135531425,1.4370847940444946,-0.04944867640733719,0.3392857015132904,0.3392857015132904,1.0,0.6607142857142857,0.3392857142857143,0.421875,0.2358545958995819,0.11611861735582352,Exp-0 baseline (LUFFY no-logprob)
0.010086526162922382,0.12940409779548645,0.07794595509767532,0.125,0.125,0.1154559776186943,-0.020357253029942513,0.875,0.29827309086589404,8.0,0.2720942497253418,0.43404749035835266,9,0.4464285671710968,0.515625,0.13041822612285614,0.009560903534293175,0.18586620315909386,0.010086526162922382,1.1337746381759644,-0.04504311829805374,0.3214285671710968,0.4464285671710968,1.0,0.5535714285714286,0.4464285714285714,0.515625,0.2720942497253418,0.12897464632987976,Exp-0 baseline (LUFFY no-logprob)
0.0069651613011956215,0.14681345224380493,0.047442253679037094,0.125,0.125,0.1357431411743164,-0.03414762765169144,0.875,0.28571428571428575,8.0,0.32355862855911255,0.45384493470191956,10,0.4285714328289032,0.5,0.1400594860315323,0.029093172401189804,0.018176870420575142,0.0069651613011956215,1.1601142883300781,-0.07031413912773132,0.3035714328289032,0.4285714328289032,1.0,0.5714285714285714,0.4285714285714286,0.5,0.32355862855911255,0.1387723982334137,Exp-0 baseline (LUFFY no-logprob)
0.010355828329920769,0.15357054769992828,0.0674336850643158,0.125,0.125,0.2636885643005371,-0.04561075568199158,1.0,0.1947984306184949,8.0,0.3625054359436035,0.46480274200439453,11,0.1607142835855484,0.265625,0.14974713325500488,0.041587427258491516,0.0065957289189100266,0.010355828329920769,1.8441932201385498,-0.052880726754665375,0.1607142835855484,0.1607142835855484,1.0,0.8392857142857143,0.1607142857142857,0.265625,0.3625054359436035,0.1475207805633545,Exp-0 baseline (LUFFY no-logprob)
0.008781980723142624,0.13301976025104523,0.06602011620998383,0.125,0.125,0.17802560329437256,-0.035699062049388885,1.0,0.30304576336566325,8.0,0.3163142502307892,0.4293375611305237,12,0.2857142984867096,0.375,0.1271638572216034,0.040830016136169434,-0.11322268471121788,0.008781980723142624,1.6972726583480835,-0.04730899631977081,0.2857142984867096,0.2857142984867096,1.0,0.7142857142857143,0.2857142857142857,0.375,0.3163142502307892,0.1254880279302597,Exp-0 baseline (LUFFY no-logprob)
0.00755541305989027,0.12357772886753082,0.061138954013586044,0.125,0.125,0.10078944265842438,-0.02171393297612667,1.0,0.28959419178976525,8.0,0.2960348427295685,0.4092229902744293,13,0.4464285671710968,0.515625,0.11734763532876968,0.19140343368053436,0.1675354540348053,0.00755541305989027,1.190200686454773,-0.052758317440748215,0.4464285671710968,0.4464285671710968,1.0,0.5535714285714286,0.4464285714285714,0.515625,0.2960348427295685,0.11598730832338333,Exp-0 baseline (LUFFY no-logprob)
