diag/exp_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_teacher_sample_mean,diag/adv_onpolicy_sample_mean,diag/teacher_adv_pos_ratio,diag/group_teacher_minus_on_reward_std,diag/group_gap_count,diag/entropy_offpolicy_token_mean,diag/entropy_onpolicy_token_std,_step,critic/rewards_onpolicy/mean,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,diag/teacher_loss_scale,diag/teacher_gap_used,diag/teacher_gap_ema,diag/teacher_token_ratio,diag/adv_teacher_token_mean,diag/adv_onpolicy_token_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/group_teacher_minus_on_reward_mean,diag/group_non_teacher_reward_mean,diag/group_all_reward_mean,diag/entropy_teacher_token_mean,diag/entropy_onpolicy_token_mean,label
0.007472887169569731,0.1489720493555069,0.05016301944851875,0.125,0.125,0.1291522979736328,-0.010095739737153053,1.0,0.28064702938395913,8.0,0.27703943848609924,0.41664689779281616,1,0.4464285671710968,0.515625,0.12715375423431396,0.01799057424068451,-0.014312917366623878,1.0,0.5535714285714286,0.5535714285714286,0.007472887169569731,1.0612857341766357,-0.04825974255800247,0.4464285671710968,0.4464285671710968,1.0,0.5535714285714286,0.4464285714285714,0.515625,0.27703943848609924,0.1260252594947815,Exp-3 (7.1 + 7.2)
0.012856307439506054,0.1929108202457428,0.06664378196001053,0.125,0.125,0.21703679859638214,-0.006649223621934652,1.0,0.236227795630767,8.0,0.32114243507385254,0.46871232986450195,2,0.1964285671710968,0.296875,0.16596704721450806,0.003913444932550192,0.013395380228757858,1.0,0.5785714285714286,0.5785714285714286,0.012856307439506054,1.3239326477050781,-0.0258274357765913,0.1964285671710968,0.1964285671710968,1.0,0.8035714285714286,0.19642857142857142,0.296875,0.32114243507385254,0.16394610702991486,Exp-3 (7.1 + 7.2)
0.012627895921468735,0.15005947649478912,0.08415260910987854,0.125,0.125,0.18687491118907928,9.492571552982554e-05,1.0,0.19884872724392935,8.0,0.3713076710700989,0.4311751425266266,3,0.25,0.34375,0.13714002072811127,0.006545718293637037,-0.02988637611269951,1.0,0.5957142857142858,0.5957142857142858,0.012627895921468735,1.3163163661956787,-0.021646760404109955,0.25,0.25,1.0,0.75,0.25,0.34375,0.3713076710700989,0.13414517045021057,Exp-3 (7.1 + 7.2)
0.008315415121614933,0.14442618191242218,0.0575755350291729,0.125,0.125,0.16363535821437836,-0.0030978205613791943,1.0,0.1587177574520641,8.0,0.2870938777923584,0.41440555453300476,4,0.2321428507566452,0.328125,0.12640483677387238,0.004881752654910088,-0.3008292932063341,1.0,0.6129285714285714,0.6129285714285714,0.008315415121614933,1.3162171840667725,-0.02307797782123089,0.2321428507566452,0.2321428507566452,1.0,0.7678571428571429,0.23214285714285712,0.328125,0.2870938777923584,0.1250574290752411,Exp-3 (7.1 + 7.2)
0.009877705946564674,0.1769007295370102,0.055837564170360565,0.125,0.125,0.1577867567539215,0.0008522857679054141,1.0,0.18813667415808463,8.0,0.3419923186302185,0.4906415343284607,5,0.1964285671710968,0.296875,0.16932137310504913,0.010225605219602585,-0.256879772990942,1.0,0.631992857142857,0.631992857142857,0.009877705946564674,1.293926477432251,-0.02191251702606678,0.1964285671710968,0.1964285671710968,1.0,0.8035714285714286,0.19642857142857142,0.296875,0.3419923186302185,0.16759875416755676,Exp-3 (7.1 + 7.2)
0.004367899615317583,0.12464114278554916,0.035043805837631226,0.109375,0.109375,0.09806586802005768,-0.006989388260990381,1.0,0.33658005107082944,7.0,0.2575209438800812,0.39938050508499146,6,0.4035087823867798,0.46875,0.11282853037118912,0.008324219845235348,0.3519551660865545,1.0,0.6238956122448979,0.6238956122448979,0.004367899615317583,1.161578893661499,-0.03150369971990585,0.4035087823867798,0.4035087823867798,1.0,0.5510204081632654,0.4489795918367347,0.5178571428571429,0.2575209438800812,0.112193763256073,Exp-3 (7.1 + 7.2)
0.0050032190047204494,0.12258624285459518,0.0408138707280159,0.125,0.125,0.09877558797597885,0.001628973870538175,0.875,0.35714285714285715,8.0,0.2561439573764801,0.3977300226688385,7,0.3571428656578064,0.4375,0.11172457784414291,0.005256434436887503,0.11438325420022011,1.0,0.6257917653061223,0.6257917653061223,0.0050032190047204494,1.1155070066452026,-0.014051860198378563,0.2321428507566452,0.3571428656578064,1.0,0.6428571428571428,0.3571428571428571,0.4375,0.2561439573764801,0.11099838465452194,Exp-3 (7.1 + 7.2)
0.006765758618712425,0.1277647465467453,0.052954819053411484,0.125,0.125,0.16996009647846222,0.0002508381730876863,1.0,0.1855768722395226,8.0,0.24280214309692383,0.4181720018386841,8,0.25,0.34375,0.1206245869398117,0.008666486479341984,-0.35953814536333084,1.0,0.6382125887755101,0.6382125887755101,0.006765758618712425,1.632800817489624,-0.020390702411532402,0.25,0.25,1.0,0.75,0.25,0.34375,0.24280214309692383,0.11979233473539352,Exp-3 (7.1 + 7.2)
0.008817814290523529,0.14183717966079712,0.06216856837272644,0.125,0.125,0.10854124277830124,0.00016947796393651515,0.875,0.3458020844828051,8.0,0.28515875339508057,0.44605666399002075,9,0.2678571343421936,0.359375,0.13872048258781433,0.011972099542617798,0.14436999708414078,1.0,0.6476056156122448,0.6476056156122448,0.008817814290523529,0.9891861081123352,-0.014932476915419102,0.1428571492433548,0.2678571343421936,1.0,0.7321428571428572,0.26785714285714285,0.359375,0.28515875339508057,0.1374177187681198,Exp-3 (7.1 + 7.2)
0.006867853458970785,0.1394457370042801,0.04925107955932617,0.125,0.125,0.10955134779214859,0.004879628773778677,0.875,0.3149141444383643,8.0,0.35313454270362854,0.4501318037509918,10,0.4464285671710968,0.515625,0.13734591007232666,0.04660254716873169,-0.03504302725195885,1.0,0.6382021969081633,0.6382021969081633,0.006867853458970785,1.0303417444229126,-0.028171243146061897,0.3214285671710968,0.4464285671710968,1.0,0.5535714285714286,0.44642857142857145,0.515625,0.35313454270362854,0.13585366308689117,Exp-3 (7.1 + 7.2)
