diag/exp_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_teacher_sample_mean,diag/adv_onpolicy_sample_mean,diag/teacher_adv_pos_ratio,diag/group_teacher_minus_on_reward_std,diag/group_gap_count,diag/entropy_offpolicy_token_mean,diag/entropy_onpolicy_token_std,_step,critic/rewards_onpolicy/mean,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,diag/teacher_loss_scale,diag/teacher_loss_scale_min,diag/teacher_loss_scale_max,diag/teacher_gap_used,diag/teacher_gap_used_p90,diag/teacher_gap_used_max,diag/teacher_gate_level,diag/teacher_token_ratio,diag/adv_teacher_token_mean,diag/adv_onpolicy_token_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/group_teacher_minus_on_reward_mean,diag/group_non_teacher_reward_mean,diag/group_all_reward_mean,diag/entropy_teacher_token_mean,diag/entropy_onpolicy_token_mean,label
0.00670078257098794,0.14667682349681854,0.04568398743867874,0.125,0.125,0.12254374474287033,-0.0008353388984687626,1.0,0.23690177073967142,8.0,0.27703943848609924,0.41693323850631714,1,0.3571428656578064,0.4375,0.12540778517723083,0.0026343679055571556,-0.05641515552997589,0.6845237935582797,0.0,1.0,0.6428571343421936,1.0,1.0,1,0.00670078257098794,0.9566803574562073,-0.02605200558900833,0.3571428656578064,0.3571428656578064,1,0.6428571428571428,0.3571428571428571,0.4375,0.27703943848609924,0.12438490241765976,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
0.013173814862966537,0.19449752569198608,0.0677325576543808,0.125,0.125,0.2351858913898468,0.0017650692025199533,1.0,0.17127969726116857,8.0,0.32308802008628845,0.48281562328338623,2,0.25,0.34375,0.1716737449169159,0.009357227943837643,-0.14557038620114326,0.7261904608458281,0.0,1.0,0.6535714199766517,0.9757142846286296,0.9857142850756645,1,0.013173814862966537,1.3639390468597412,-0.030822675675153732,0.25,0.25,1,0.75,0.25,0.34375,0.32308802008628845,0.16965241730213165,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
0.012623741291463375,0.160622239112854,0.07859273254871368,0.125,0.125,0.13488167524337769,-0.0022269173059612513,1.0,0.24679062430509383,8.0,0.3696322441101074,0.4544568359851837,3,0.2321428507566452,0.328125,0.14692054688930511,0.0034840127918869257,0.08443531952798367,0.7821428361038367,0.19523804734150552,1.0,0.6649999914132059,0.9347142827957868,0.9457142832875252,1,0.012623741291463375,0.9381251335144043,-0.016140466555953026,0.2321428507566452,0.2321428507566452,1,0.7678571428571429,0.23214285714285712,0.328125,0.3696322441101074,0.14407315850257874,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
0.008944757282733917,0.1379220187664032,0.0648537278175354,0.125,0.125,0.18114706873893738,-0.0020217890851199627,1.0,0.15046696023529216,8.0,0.2895348072052002,0.40201234817504883,4,0.2678571343421936,0.359375,0.11976126581430435,0.002792815677821636,-0.07419954426586628,0.8054166451593241,0.29714280977845176,1.0,0.6717142769750207,0.9269571395918726,0.9368571400344371,1,0.008944757282733917,1.5463621616363525,-0.03465532884001732,0.2678571343421936,0.2678571343421936,1,0.7321428571428572,0.26785714285714285,0.359375,0.2895348072052002,0.1182289719581604,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
0.010073195211589336,0.17300857603549957,0.05822367966175079,0.125,0.125,0.16228091716766357,0.0005923035787418485,1.0,0.25505101530510177,8.0,0.3415340185165405,0.47864463925361633,5,0.25,0.34375,0.16477294266223907,0.0250034611672163,-0.10870110802352428,0.8144583102514347,0.43647614571948845,1.0,0.6795428481599316,0.9342614256326853,0.9431714260309934,1,0.010073195211589336,1.15211820602417,-0.017357904464006424,0.25,0.25,1,0.75,0.25,0.34375,0.3415340185165405,0.1629742532968521,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
0.004146509803831577,0.1312541961669922,0.031591448932886124,0.109375,0.109375,0.10952389240264893,-0.004884243011474609,0.8571428656578064,0.3796137803620056,7.0,0.2577141523361206,0.41111189126968384,6,0.3333333432674408,0.40625,0.118907630443573,0.010330652818083763,-0.06554349698126316,0.8362012542043109,0.5618761480664214,1.0,0.672813052554454,0.8954175677964538,0.9373985686300694,1,0.004146509803831577,1.1363431215286255,-0.020293036475777626,0.21052631735801697,0.3333333432674408,1,0.6122448979591837,0.38775510204081637,0.4642857142857143,0.2577141523361206,0.11832967400550842,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
0.004881241358816624,0.11666311323642731,0.04184048995375633,0.125,0.125,0.11051871627569199,0.0017710661049932241,0.875,0.30670650066638694,8.0,0.25766074657440186,0.3826221823692322,7,0.2678571343421936,0.359375,0.10495804250240326,0.00791564118117094,-0.14924206212162971,0.90139785666402,0.6567142642140389,1.0,0.6787460325609377,0.8230186680319413,0.9008015684841721,1,0.004881241358816624,1.269025206565857,-0.011045604944229126,0.1428571492433548,0.2678571343421936,1,0.7321428571428572,0.26785714285714285,0.359375,0.25766074657440186,0.10420900583267212,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
0.007057194598019123,0.1312084197998047,0.05378613620996475,0.125,0.125,0.1317131370306015,-0.0020913344342261553,1.0,0.21943224513293766,8.0,0.24599821865558624,0.4169531762599945,8,0.3035714328289032,0.390625,0.12062093615531921,0.015373502857983112,-0.1507696397602558,0.9009928876432192,0.5696142606874307,1.0,0.680514285835689,0.8064310864534232,0.8964356967114194,1,0.007057194598019123,1.3819106817245483,-0.030776051804423332,0.3035714328289032,0.3035714328289032,1,0.6964285714285714,0.3035714285714286,0.390625,0.24599821865558624,0.11972984671592712,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
0.00947598833590746,0.1421336978673935,0.0666695386171341,0.125,0.125,0.11808998882770538,-3.975629806518555e-05,0.875,0.3499271061118826,8.0,0.2898373305797577,0.4470316469669342,9,0.3571428656578064,0.4375,0.13875709474086761,0.038967642933130264,-0.07808060944080353,0.8799412170395425,0.6340814017897844,1.0,0.676748570872604,0.8172165488534796,0.8782206971916064,1,0.00947598833590746,1.120181918144226,-0.024118022993206978,0.2321428507566452,0.3571428656578064,1,0.6428571428571429,0.35714285714285715,0.4375,0.2898373305797577,0.13731175661087036,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
0.006820440758019686,0.1383616179227829,0.04929431155323982,0.125,0.125,0.12901009619235992,0.00044768888619728386,0.875,0.34809979802889157,8.0,0.35435834527015686,0.4497910439968109,10,0.4642857015132904,0.53125,0.13644318282604218,0.049465812742710114,0.11138429865241051,0.8788518546681259,0.5492446845056017,1.0,0.6626451413988403,0.7822930996434956,0.8046843409066652,1,0.006820440758019686,1.300488829612732,-0.03612855449318886,0.3392857015132904,0.4642857015132904,1,0.5357142857142858,0.4642857142857143,0.53125,0.35435834527015686,0.13494670391082764,"Exp-3 v3 (7.1+7.2 group-gate, partial)"
