label,steps,reward_auc_mean,reward_best,reward_best_step,reward_last,reward_early_mean_1_20,reward_mid_mean_21_60,reward_late_mean_61_100,run_id,reward_col
Exp-0 baseline (LUFFY no-logprob),98.0,0.48354303890040945,0.8035714030265808,72.0,0.3214285671710968,0.3732769381254911,0.5462406009435654,0.47558039505230754,mp49ntmm,critic/rewards_onpolicy/mean
Exp-1 (7.1 baseline-sep),98.0,0.5387127463306699,0.8571428656578064,57.0,0.6964285969734192,0.3636278182268143,0.549929516762495,0.6190555817202518,bjgtsf79,critic/rewards_onpolicy/mean
Exp-2 (7.2 adaptive gate),98.0,0.4328609403907036,0.7142857313156128,50.0,0.4464285671710968,0.3607142835855484,0.4813988130539656,0.41974036748472016,ksy1eyh3,critic/rewards_onpolicy/mean
Exp-3 (7.1 + 7.2),98.0,0.44525833382290236,0.7321428656578064,50.0,0.4821428656578064,0.3297305770218372,0.4528352119028568,0.49808675521298457,0v8ecp6h,critic/rewards_onpolicy/mean
Exp-2 v2 (7.2 adaptive gate annealed),98.0,0.46559925635858457,0.8214285969734192,50.0,0.3571428656578064,0.38488408699631693,0.5164787001907826,0.4545236151469381,pciujkve,critic/rewards_onpolicy/mean
Exp-3 v2 (7.1 + 7.2 annealed),98.0,0.4956105062547995,0.8392857313156128,50.0,0.6071428656578064,0.3698308229446411,0.5098527550697327,0.5468184987181112,t7doz8ru,critic/rewards_onpolicy/mean
Exp-3 v3 (7.1 + 7.2 per-group gate),98.0,0.49143530550051706,0.8035714030265808,50.0,0.5,0.35117480903863907,0.5298323906958103,0.5248386350117231,btxf74s2,critic/rewards_onpolicy/mean
