diag/exp_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_teacher_sample_mean,diag/adv_onpolicy_sample_mean,diag/teacher_adv_pos_ratio,diag/group_teacher_minus_on_reward_std,diag/group_gap_count,diag/entropy_offpolicy_token_mean,diag/entropy_onpolicy_token_std,_step,critic/rewards_onpolicy/mean,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,diag/teacher_loss_scale,diag/teacher_gap_used,diag/teacher_loss_scale_min,diag/teacher_loss_scale_max,diag/teacher_gap_used_p90,diag/teacher_gap_used_max,diag/teacher_gate_level,diag/teacher_token_ratio,diag/adv_teacher_token_mean,diag/adv_onpolicy_token_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/group_teacher_minus_on_reward_mean,diag/group_non_teacher_reward_mean,diag/group_all_reward_mean,diag/entropy_teacher_token_mean,diag/entropy_onpolicy_token_mean,label
0.00670078257098794,0.14667682349681854,0.04568398743867874,0.125,0.125,0.12254374474287033,-0.0008353388984687626,1.0,0.23690177073967142,8.0,0.27703943848609924,0.41693323850631714,1,0.3571428656578064,0.4375,0.12540778517723083,0.0026343679055571556,-0.05641515552997589,0.6845237935582797,0.6428571343421936,0.0,1.0,1.0,1.0,1.0,0.00670078257098794,0.9566803574562073,-0.02605200558900833,0.3571428656578064,0.3571428656578064,1.0,0.6428571428571428,0.3571428571428571,0.4375,0.27703943848609924,0.12438490241765976,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.013173814862966537,0.19449752569198608,0.0677325576543808,0.125,0.125,0.2351858913898468,0.0017650692025199533,1.0,0.17127969726116857,8.0,0.32308802008628845,0.48281562328338623,2,0.25,0.34375,0.1716737449169159,0.009357227943837643,-0.14557038620114326,0.7261904608458281,0.6535714199766517,0.0,1.0,0.9757142846286296,0.9857142850756645,1.0,0.013173814862966537,1.3639390468597412,-0.030822675675153732,0.25,0.25,1.0,0.75,0.25,0.34375,0.32308802008628845,0.16965241730213165,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.012623741291463375,0.160622239112854,0.07859273254871368,0.125,0.125,0.13488167524337769,-0.0022269173059612513,1.0,0.24679062430509383,8.0,0.3696322441101074,0.4544568359851837,3,0.2321428507566452,0.328125,0.14692054688930511,0.0034840127918869257,0.08443531952798367,0.7821428361038367,0.6649999914132059,0.19523804734150552,1.0,0.9347142827957868,0.9457142832875252,1.0,0.012623741291463375,0.9381251335144043,-0.016140466555953026,0.2321428507566452,0.2321428507566452,1.0,0.7678571428571429,0.23214285714285712,0.328125,0.3696322441101074,0.14407315850257874,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.008944757282733917,0.1379220187664032,0.0648537278175354,0.125,0.125,0.18114706873893738,-0.0020217890851199627,1.0,0.15046696023529216,8.0,0.2895348072052002,0.40201234817504883,4,0.2678571343421936,0.359375,0.11976126581430435,0.002792815677821636,-0.07419954426586628,0.8054166451593241,0.6717142769750207,0.29714280977845176,1.0,0.9269571395918726,0.9368571400344371,1.0,0.008944757282733917,1.5463621616363525,-0.03465532884001732,0.2678571343421936,0.2678571343421936,1.0,0.7321428571428572,0.26785714285714285,0.359375,0.2895348072052002,0.1182289719581604,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.010073195211589336,0.17300857603549957,0.05822367966175079,0.125,0.125,0.16228091716766357,0.0005923035787418485,1.0,0.25505101530510177,8.0,0.3415340185165405,0.47864463925361633,5,0.25,0.34375,0.16477294266223907,0.0250034611672163,-0.10870110802352428,0.8144583102514347,0.6795428481599316,0.43647614571948845,1.0,0.9342614256326853,0.9431714260309934,1.0,0.010073195211589336,1.15211820602417,-0.017357904464006424,0.25,0.25,1.0,0.75,0.25,0.34375,0.3415340185165405,0.1629742532968521,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.004146509803831577,0.1312541961669922,0.031591448932886124,0.109375,0.109375,0.10952389240264893,-0.004884243011474609,0.8571428656578064,0.3796137803620056,7.0,0.2577141523361206,0.41111189126968384,6,0.3333333432674408,0.40625,0.118907630443573,0.010330652818083763,-0.06554349698126316,0.8362012542043109,0.672813052554454,0.5618761480664214,1.0,0.8954175677964538,0.9373985686300694,1.0,0.004146509803831577,1.1363431215286255,-0.020293036475777626,0.21052631735801697,0.3333333432674408,1.0,0.6122448979591837,0.38775510204081637,0.4642857142857143,0.2577141523361206,0.11832967400550842,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.004881241358816624,0.11666311323642731,0.04184048995375633,0.125,0.125,0.11051871627569199,0.0017710661049932241,0.875,0.30670650066638694,8.0,0.25766074657440186,0.3826221823692322,7,0.2678571343421936,0.359375,0.10495804250240326,0.00791564118117094,-0.14924206212162971,0.90139785666402,0.6787460325609377,0.6567142642140389,1.0,0.8230186680319413,0.9008015684841721,1.0,0.004881241358816624,1.269025206565857,-0.011045604944229126,0.1428571492433548,0.2678571343421936,1.0,0.7321428571428572,0.26785714285714285,0.359375,0.25766074657440186,0.10420900583267212,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.007057194598019123,0.1312084197998047,0.05378613620996475,0.125,0.125,0.1317131370306015,-0.0020913344342261553,1.0,0.21943224513293766,8.0,0.24599821865558624,0.4169531762599945,8,0.3035714328289032,0.390625,0.12062093615531921,0.015373502857983112,-0.1507696397602558,0.9009928876432192,0.680514285835689,0.5696142606874307,1.0,0.8064310864534232,0.8964356967114194,1.0,0.007057194598019123,1.3819106817245483,-0.030776051804423332,0.3035714328289032,0.3035714328289032,1.0,0.6964285714285714,0.3035714285714286,0.390625,0.24599821865558624,0.11972984671592712,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.00947598833590746,0.1421336978673935,0.0666695386171341,0.125,0.125,0.11808998882770538,-3.975629806518555e-05,0.875,0.3499271061118826,8.0,0.2898373305797577,0.4470316469669342,9,0.3571428656578064,0.4375,0.13875709474086761,0.038967642933130264,-0.07808060944080353,0.8799412170395425,0.676748570872604,0.6340814017897844,1.0,0.8172165488534796,0.8782206971916064,1.0,0.00947598833590746,1.120181918144226,-0.024118022993206978,0.2321428507566452,0.3571428656578064,1.0,0.6428571428571429,0.35714285714285715,0.4375,0.2898373305797577,0.13731175661087036,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.006820440758019686,0.1383616179227829,0.04929431155323982,0.125,0.125,0.12901009619235992,0.00044768888619728386,0.875,0.34809979802889157,8.0,0.35435834527015686,0.4497910439968109,10,0.4642857015132904,0.53125,0.13644318282604218,0.049465812742710114,0.11138429865241051,0.8788518546681259,0.6626451413988403,0.5492446845056017,1.0,0.7822930996434956,0.8046843409066652,1.0,0.006820440758019686,1.300488829612732,-0.03612855449318886,0.3392857015132904,0.4642857015132904,1.0,0.5357142857142858,0.4642857142857143,0.53125,0.35435834527015686,0.13494670391082764,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.010461660102009773,0.17096808552742004,0.06119072064757347,0.125,0.125,0.20628787577152252,-0.0022384317126125097,1.0,0.1587177574520641,8.0,0.3891904652118683,0.4942935109138489,11,0.2321428507566452,0.328125,0.1668410748243332,0.16923625767230988,-0.17032067105174065,0.9135857152238079,0.6731663405069112,0.6633678329739231,1.0,0.7754923598304752,0.7956444769673277,1.0,0.010461660102009773,1.273688793182373,-0.025686653330922127,0.2321428507566452,0.2321428507566452,1.0,0.7678571428571429,0.23214285714285712,0.328125,0.3891904652118683,0.16449032723903656,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.008883724920451641,0.14006997644901276,0.06342347711324692,0.125,0.125,0.09729491174221039,-0.004029572941362858,1.0,0.28959419178976525,8.0,0.34054550528526306,0.45349323749542236,12,0.3035714328289032,0.390625,0.13963614404201508,0.04309346154332161,-0.1214455459266901,0.9401198885412912,0.6754925628008006,0.7856906860825701,1.0,0.7579431220592884,0.8160800292705949,1.0,0.008883724920451641,0.9262350797653198,-0.018374048173427582,0.3035714328289032,0.3035714328289032,1.0,0.6964285714285714,0.30357142857142855,0.390625,0.34054550528526306,0.1378353238105774,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.008001168258488178,0.13898304104804993,0.057569388300180435,0.125,0.125,0.10536214709281921,-0.0030505347531288862,1.0,0.2834733547569204,8.0,0.31933435797691345,0.45724037289619446,13,0.4642857015132904,0.53125,0.1407676488161087,0.23970980942249298,0.008174201473593712,0.9163827573876827,0.6615147339479529,0.7108993676036739,1.0,0.7543634664016093,0.8344720263435353,1.0,0.008001168258488178,0.9903239011764526,-0.04031097888946533,0.4642857015132904,0.4642857015132904,1.0,0.5357142857142857,0.4642857142857143,0.53125,0.31933435797691345,0.13932737708091736,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.006585836876183748,0.14111079275608063,0.046671390533447266,0.125,0.125,0.12131500244140625,0.0010567338904365897,1.0,0.3331206804674577,8.0,0.30289098620414734,0.4660312533378601,14,0.3214285671710968,0.40625,0.1455010026693344,0.03432878106832504,-0.24308873526751995,0.9509904738310915,0.6632204029047254,0.8088570477621881,1.0,0.7168457678574972,0.8367391087848463,1.0,0.006585836876183748,1.1747475862503052,-0.021406296640634537,0.3214285671710968,0.3214285671710968,1.0,0.6785714285714286,0.3214285714285714,0.40625,0.30289098620414734,0.14445760846138,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.007134367246180773,0.13582618534564972,0.05252571403980255,0.125,0.125,0.06586858630180359,-0.00040877185529097915,0.75,0.4087686836521285,8.0,0.2832781970500946,0.4679322838783264,15,0.3214285671710968,0.40625,0.14566920697689056,0.04051150381565094,-0.011734019964933395,0.9503042911490217,0.6647555051520851,0.7345896765605006,1.0,0.7131772642192911,0.7530651979063616,1.0,0.007134367246180773,0.7429630756378174,-0.008491342887282372,0.0714285746216774,0.3214285671710968,1.0,0.6785714285714286,0.3214285714285714,0.40625,0.2832781970500946,0.14468039572238922,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.006839514244347811,0.13409242033958435,0.05100597068667412,0.125,0.125,0.10377336293458939,0.00015047092165332288,0.875,0.3174355149041282,8.0,0.3200688660144806,0.46508127450942993,16,0.5357142686843872,0.59375,0.1415298879146576,0.08455555140972137,-0.3399554044008255,0.9154780863290874,0.6447085251607347,0.592083087018515,1.0,0.702764177844423,0.7206158184183835,1.0,0.006839514244347811,1.1919264793395996,-0.03126935660839081,0.4107142984867096,0.5357142686843872,1.0,0.4642857142857143,0.5357142857142857,0.59375,0.3200688660144806,0.14030036330223083,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.011157880537211895,0.1554414927959442,0.07178186625242233,0.125,0.125,0.10009658336639404,-0.0018144294153898954,1.0,0.30929478706587094,8.0,0.3907134532928467,0.49833446741104126,17,0.4642857015132904,0.53125,0.16509893536567688,0.08158829808235168,0.0021480005234479904,0.9270366116959259,0.633809099885629,0.7495414449833301,1.0,0.6710591863323729,0.6771256634449839,1.0,0.011157880537211895,0.8255097270011902,-0.03217719867825508,0.4642857015132904,0.4642857015132904,1.0,0.5357142857142857,0.46428571428571425,0.53125,0.3907134532928467,0.16255314648151398,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.005174451973289251,0.11989470571279526,0.04315830022096634,0.109375,0.109375,0.13281604647636414,0.0029222096782177687,1.0,0.21404262207554117,7.0,0.35133227705955505,0.4291786849498749,18,0.35087719559669495,0.421875,0.12239919602870941,0.03989550471305847,0.06086915731430054,0.9192503862698377,0.6336934951414109,0.7483968228753624,1.0,0.6739532675075492,0.69512738217615,1.0,0.005174451973289251,1.111865758895874,-0.031024448573589325,0.35087719559669495,0.35087719559669495,1.0,0.6326530612244898,0.36734693877551017,0.44642857142857145,0.35133227705955505,0.12120842933654785,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.010559753514826298,0.18120257556438446,0.05827595666050911,0.125,0.125,0.08812054991722107,-0.0033668777905404568,0.75,0.38423990698839305,8.0,0.29017457365989685,0.5565188527107239,19,0.5178571343421936,0.578125,0.19857238233089447,0.06412645429372787,-0.07194260135293007,0.8656429335303413,0.6185384307029343,0.5568904739211596,1.0,0.6843323218154548,0.6880069044750114,1.0,0.010559753514826298,0.7741445302963257,-0.02751239575445652,0.2678571343421936,0.5178571343421936,1.0,0.48214285714285715,0.5178571428571429,0.578125,0.29017457365989685,0.1975947618484497,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.006018585059791803,0.1309269368648529,0.04596903547644615,0.125,0.125,0.1079193651676178,-0.0009817044483497739,0.875,0.30304576336566325,8.0,0.3101012706756592,0.4652137756347656,20,0.4285714328289032,0.5,0.14469952881336212,0.1518123298883438,0.007460674270987511,0.8372667932922384,0.6138274439772216,0.384534759862377,1.0,0.693503159630311,0.7001960356837448,1.0,0.006018585059791803,1.1077022552490234,-0.03160393610596657,0.3035714328289032,0.4285714328289032,1.0,0.5714285714285715,0.42857142857142855,0.5,0.3101012706756592,0.14369799196720123,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.006179168354719877,0.13318383693695068,0.046395786106586456,0.125,0.125,0.15793803334236145,-0.0031841706950217485,1.0,0.2672612419124244,8.0,0.39669907093048096,0.48211127519607544,21,0.2857142984867096,0.375,0.14817695319652557,0.10577144473791122,0.14472928270697594,0.8553776219092412,0.623873269917093,0.515128900795021,1.0,0.717594893762011,0.7215713057609554,1.0,0.006179168354719877,1.3741329908370972,-0.021453091874718666,0.2857142984867096,0.2857142984867096,1.0,0.7142857142857143,0.2857142857142857,0.375,0.39669907093048096,0.14663173258304596,Exp-3 v3 (7.1 + 7.2 per-group gate)
0.0076662651263177395,0.13939592242240906,0.05499633401632309,0.109375,0.109375,0.10820114612579346,0.001825676066800952,0.8571428656578064,0.3616335744218235,7.0,0.3966045677661896,0.4769110679626465,22,0.35087719559669495,0.421875,0.15037746727466583,0.1180579736828804,-0.21278183907270432,0.824559246054261,0.6206696159158056,0.4868288412706473,1.0,0.7178804159729582,0.7443016454719313,1.0,0.0076662651263177395,0.8732881546020508,-0.015279498882591724,0.22807016968727112,0.35087719559669495,1.0,0.5918367346938777,0.4081632653061224,0.48214285714285715,0.3966045677661896,0.14847524464130402,Exp-3 v3 (7.1 + 7.2 per-group gate)
